########## REPORT GEN: 2 ##########
SPECIES: 
Lynn           		Mean: 131.12 		Best: 901.33 		N:7
Adair          		Mean: 152.84 		Best: 901.71 		N:6

########## REPORT GEN: 13 ##########
SPECIES: 
Roberts        		Mean: 102.58 		Best: 913.67 		N:9
Fletcher       		Mean: 184.63 		Best: 913.67 		N:5
Grove          		Mean: 154.32 		Best: 911.79 		N:6
Rose           		Mean: 230.53 		Best: 911.79 		N:4
Thompson       		Mean: 153.3 		Best: 906.1 		N:6
Lytle          		Mean: 183.1 		Best: 905.88 		N:5
Pestana        		Mean: 184.76 		Best: 905.88 		N:5
Roth           		Mean: 115.22 		Best: 905.88 		N:8
Franklin       		Mean: 229.44 		Best: 905.88 		N:4
Adair          		Mean: 184.08 		Best: 905.88 		N:5
Houlihan       		Mean: 306.32 		Best: 905.72 		N:3
Smith          		Mean: 229.65 		Best: 905.72 		N:4
Hutson         		Mean: 183.41 		Best: 902.28 		N:5
Liles          		Mean: 305.81 		Best: 901.99 		N:3
Covino         		Mean: 453.98 		Best: 901.33 		N:2
Stinger        		Mean: 131.06 		Best: 901.22 		N:7
Toney          		Mean: 152.91 		Best: 901.15 		N:6
Spinks         		Mean: 229.17 		Best: 901.01 		N:4
Mitchell       		Mean: 305.08 		Best: 901.45 		N:3
Villamar       		Mean: 228.93 		Best: 901.88 		N:4
Deremer        		Mean: 153.86 		Best: 905.88 		N:6

########## REPORT GEN: 14 ##########
SPECIES: 
Stinger        		Mean: 115.18 		Best: 913.67 		N:8
Spinks         		Mean: 131.8 		Best: 913.67 		N:7
Grove          		Mean: 92.05 		Best: 911.79 		N:10
Toney          		Mean: 131.77 		Best: 911.79 		N:7
Roberts        		Mean: 83.92 		Best: 906.37 		N:11
Roth           		Mean: 304.35 		Best: 906.37 		N:3
Rose           		Mean: 457.25 		Best: 905.88 		N:2
Thompson       		Mean: 152.73 		Best: 905.88 		N:6
Lytle          		Mean: 184.09 		Best: 905.88 		N:5
Pestana        		Mean: 184.13 		Best: 905.88 		N:5
Smith          		Mean: 131.55 		Best: 905.88 		N:7
Covino         		Mean: 229.19 		Best: 905.72 		N:4
Hutson         		Mean: 114.7 		Best: 901.88 		N:8
Mitchell       		Mean: 115.01 		Best: 901.45 		N:8
Houlihan       		Mean: 183.47 		Best: 901.22 		N:5
Fletcher       		Mean: 228.93 		Best: 901.0 		N:4
Franklin       		Mean: 131.08 		Best: 901.01 		N:7
Adair          		Mean: 304.01 		Best: 900.99 		N:3
Deremer        		Mean: 228.88 		Best: 901.02 		N:4
Day            		Mean: 303.18 		Best: 900.76 		N:3
Villamar       		Mean: 152.75 		Best: 901.02 		N:6
Liles          		Mean: 304.97 		Best: 900.71 		N:3

########## REPORT GEN: 15 ##########
SPECIES: 
Thompson       		Mean: 102.45 		Best: 913.67 		N:9
Smith          		Mean: 115.42 		Best: 913.67 		N:8
Fletcher       		Mean: 153.43 		Best: 913.67 		N:6
Houlihan       		Mean: 153.01 		Best: 911.79 		N:6
Rose           		Mean: 91.57 		Best: 905.88 		N:10
Franklin       		Mean: 153.41 		Best: 905.88 		N:6
Liles          		Mean: 131.58 		Best: 906.37 		N:7
Pestana        		Mean: 114.73 		Best: 905.72 		N:8
Adair          		Mean: 183.92 		Best: 906.37 		N:5
Deremer        		Mean: 229.8 		Best: 905.72 		N:4
Day            		Mean: 183.63 		Best: 905.88 		N:5
Roberts        		Mean: 102.34 		Best: 905.72 		N:9
Stinger        		Mean: 152.76 		Best: 901.99 		N:6
Hutson         		Mean: 304.87 		Best: 901.99 		N:3
Roth           		Mean: 114.35 		Best: 901.0 		N:8
Spinks         		Mean: 457.41 		Best: 901.0 		N:2
Covino         		Mean: 76.35 		Best: 901.01 		N:12
Lytle          		Mean: 130.81 		Best: 900.99 		N:7
Toney          		Mean: 152.06 		Best: 900.99 		N:6
Mitchell       		Mean: 130.31 		Best: 900.77 		N:7
Villamar       		Mean: 306.19 		Best: 901.05 		N:3
Grove          		Mean: 228.76 		Best: 901.0 		N:4

########## REPORT GEN: 16 ##########
SPECIES: 
Houlihan       		Mean: 101.93 		Best: 913.67 		N:9
Rose           		Mean: 76.62 		Best: 913.67 		N:12
Adair          		Mean: 131.58 		Best: 913.67 		N:7
Smith          		Mean: 131.69 		Best: 911.79 		N:7
Pestana        		Mean: 114.8 		Best: 911.79 		N:8
Lytle          		Mean: 91.92 		Best: 905.92 		N:10
Fletcher       		Mean: 152.72 		Best: 905.88 		N:6
Stinger        		Mean: 102.22 		Best: 905.88 		N:9
Franklin       		Mean: 114.83 		Best: 905.72 		N:8
Deremer        		Mean: 130.8 		Best: 905.72 		N:7
Day            		Mean: 83.44 		Best: 905.72 		N:11
Roberts        		Mean: 152.67 		Best: 905.72 		N:6
Covino         		Mean: 152.33 		Best: 901.0 		N:6
Hutson         		Mean: 114.37 		Best: 901.0 		N:8
Roth           		Mean: 152.78 		Best: 901.99 		N:6
Thompson       		Mean: 152.59 		Best: 901.0 		N:6
Liles          		Mean: 454.67 		Best: 901.0 		N:2
Grove          		Mean: 101.16 		Best: 901.01 		N:9
Spinks         		Mean: 452.0 		Best: 900.73 		N:2
Toney          		Mean: 452.15 		Best: 900.72 		N:2
Mitchell       		Mean: 182.69 		Best: 900.8 		N:5

########## REPORT GEN: 17 ##########
SPECIES: 
Villamar       		Mean: 102.12 		Best: 913.67 		N:9
Mitchell       		Mean: 130.88 		Best: 913.67 		N:7
Stinger        		Mean: 114.39 		Best: 911.79 		N:8
Hutson         		Mean: 83.55 		Best: 911.79 		N:11
Fletcher       		Mean: 152.89 		Best: 905.92 		N:6
Rose           		Mean: 101.86 		Best: 905.88 		N:9
Adair          		Mean: 183.09 		Best: 905.72 		N:5
Smith          		Mean: 456.42 		Best: 905.72 		N:2
Pestana        		Mean: 229.02 		Best: 905.72 		N:4
Liles          		Mean: 229.79 		Best: 905.72 		N:4
Houlihan       		Mean: 182.7 		Best: 901.01 		N:5
Roberts        		Mean: 131.0 		Best: 901.0 		N:7
Day            		Mean: 130.5 		Best: 900.99 		N:7
Franklin       		Mean: 455.17 		Best: 900.72 		N:2
Grove          		Mean: 454.79 		Best: 900.71 		N:2
Deremer        		Mean: 227.37 		Best: 900.66 		N:4
Spinks         		Mean: 303.63 		Best: 900.57 		N:3
Toney          		Mean: 152.23 		Best: 900.72 		N:6
Covino         		Mean: 130.21 		Best: 901.0 		N:7

########## REPORT GEN: 18 ##########
SPECIES: 
Franklin       		Mean: 229.34 		Best: 913.67 		N:4
Covino         		Mean: 101.82 		Best: 913.67 		N:9
Stinger        		Mean: 229.53 		Best: 911.79 		N:4
Thompson       		Mean: 229.31 		Best: 911.79 		N:4
Adair          		Mean: 130.96 		Best: 906.59 		N:7
Grove          		Mean: 114.55 		Best: 905.88 		N:8
Mitchell       		Mean: 114.14 		Best: 905.72 		N:8
Pestana        		Mean: 305.2 		Best: 905.72 		N:3
Roth           		Mean: 304.92 		Best: 905.72 		N:3
Spinks         		Mean: 304.13 		Best: 901.01 		N:3
Liles          		Mean: 152.19 		Best: 901.0 		N:6
Deremer        		Mean: 182.48 		Best: 901.0 		N:5
Villamar       		Mean: 151.96 		Best: 900.89 		N:6
Roberts        		Mean: 303.23 		Best: 900.73 		N:3
Fletcher       		Mean: 182.7 		Best: 900.71 		N:5
Rose           		Mean: 225.9 		Best: 900.7 		N:4
Day            		Mean: 451.16 		Best: 900.55 		N:2
Hutson         		Mean: 182.44 		Best: 900.89 		N:5
Toney          		Mean: 182.28 		Best: 900.66 		N:5
Smith          		Mean: 304.31 		Best: 900.71 		N:3

########## REPORT GEN: 19 ##########
SPECIES: 
Rose           		Mean: 152.63 		Best: 913.67 		N:6
Smith          		Mean: 183.28 		Best: 913.67 		N:5
Roth           		Mean: 306.31 		Best: 911.79 		N:3
Liles          		Mean: 102.01 		Best: 911.79 		N:9
Franklin       		Mean: 70.37 		Best: 905.72 		N:13
Fletcher       		Mean: 130.85 		Best: 905.72 		N:7
Houlihan       		Mean: 101.78 		Best: 906.59 		N:9
Day            		Mean: 456.13 		Best: 905.72 		N:2
Covino         		Mean: 152.18 		Best: 901.0 		N:6
Thompson       		Mean: 183.13 		Best: 901.0 		N:5
Spinks         		Mean: 114.22 		Best: 900.89 		N:8
Pestana        		Mean: 114.55 		Best: 901.0 		N:8
Stinger        		Mean: 304.25 		Best: 900.71 		N:3
Grove          		Mean: 227.91 		Best: 900.71 		N:4
Toney          		Mean: 454.82 		Best: 900.7 		N:2
Villamar       		Mean: 152.09 		Best: 900.71 		N:6
Mitchell       		Mean: 303.09 		Best: 900.55 		N:3
Hutson         		Mean: 303.63 		Best: 900.66 		N:3
Adair          		Mean: 101.42 		Best: 900.86 		N:9
Deremer        		Mean: 227.92 		Best: 900.72 		N:4
Roberts        		Mean: 303.62 		Best: 900.52 		N:3

########## REPORT GEN: 20 ##########
SPECIES: 
Stinger        		Mean: 182.85 		Best: 913.67 		N:5
Toney          		Mean: 229.7 		Best: 913.67 		N:4
Roth           		Mean: 76.27 		Best: 911.79 		N:12
Liles          		Mean: 229.8 		Best: 911.79 		N:4
Day            		Mean: 102.12 		Best: 913.67 		N:9
Hutson         		Mean: 130.89 		Best: 907.21 		N:7
Thompson       		Mean: 304.87 		Best: 905.72 		N:3
Deremer        		Mean: 152.27 		Best: 905.72 		N:6
Roberts        		Mean: 228.94 		Best: 905.72 		N:4
Covino         		Mean: 182.98 		Best: 901.0 		N:5
Adair          		Mean: 130.35 		Best: 900.72 		N:7
