########## REPORT GEN: 2 ##########
SPECIES: 
Edward         		Mean: 1.78 		Best: 9.6 		Nº:5
Headley        		Mean: 2.41 		Best: 9.6 		Nº:2
Jones          		Mean: 2.04 		Best: 9.6 		Nº:3
Schluter       		Mean: 1.36 		Best: 9.6 		Nº:5
Rodriguez      		Mean: 1.43 		Best: 9.6 		Nº:5
Ransdell       		Mean: 0.6  		Best: 9.6 		Nº:4
Holcombe       		Mean: 0.75 		Best: 9.6 		Nº:6
Rooker         		Mean: 4.8  		Best: 9.6 		Nº:2
Mcbride        		Mean: 1.07 		Best: 9.6 		Nº:3
Vick           		Mean: 0.73 		Best: 9.6 		Nº:5
Combs          		Mean: 1.14 		Best: 9.6 		Nº:4
Magana         		Mean: 1.09 		Best: 8.71 		Nº:4
Kidd           		Mean: 2.18 		Best: 8.71 		Nº:2
Lavoie         		Mean: 1.03 		Best: 8.71 		Nº:4
Cochran        		Mean: 2.19 		Best: 8.71 		Nº:2
Clary          		Mean: 0.31 		Best: 7.77 		Nº:5
Jackson        		Mean: 0.86 		Best: 7.77 		Nº:3
Sanchez        		Mean: 0.0  		Best: 0.0 		Nº:5
Crow           		Mean: 0.0  		Best: 0.0 		Nº:2

########## REPORT GEN: 15 ##########
SPECIES: 
Oconnor        		Mean: 1.69 		Best: 9.6 		Nº:4
Edward         		Mean: 0.69 		Best: 9.6 		Nº:7
Headley        		Mean: 1.09 		Best: 9.6 		Nº:4
Schluter       		Mean: 1.67 		Best: 9.6 		Nº:5
Rodriguez      		Mean: 1.45 		Best: 9.6 		Nº:6
Rooker         		Mean: 1.63 		Best: 9.6 		Nº:4
Vick           		Mean: 1.07 		Best: 9.6 		Nº:3
Combs          		Mean: 1.2  		Best: 9.6 		Nº:4
Magana         		Mean: 1.75 		Best: 9.6 		Nº:4
Kidd           		Mean: 1.09 		Best: 9.6 		Nº:4
Lavoie         		Mean: 1.57 		Best: 9.6 		Nº:4
Stoica         		Mean: 4.8  		Best: 9.6 		Nº:2
Cochran        		Mean: 0.6  		Best: 9.6 		Nº:4
Clary          		Mean: 2.4  		Best: 9.6 		Nº:2
Sanchez        		Mean: 2.4  		Best: 9.6 		Nº:2
Cole           		Mean: 2.41 		Best: 9.6 		Nº:2
Ransdell       		Mean: 2.19 		Best: 8.71 		Nº:2
Mcbride        		Mean: 0.55 		Best: 8.71 		Nº:4
Jones          		Mean: 0.65 		Best: 7.77 		Nº:6
Jackson        		Mean: 0.86 		Best: 7.77 		Nº:3
Holcombe       		Mean: 0.0  		Best: 0.0 		Nº:3

########## REPORT GEN: 16 ##########
SPECIES: 
Oconnor        		Mean: 0.48 		Best: 9.6 		Nº:6
Edward         		Mean: 2.9  		Best: 9.6 		Nº:3
Schluter       		Mean: 0.93 		Best: 9.6 		Nº:7
Rodriguez      		Mean: 1.78 		Best: 9.6 		Nº:5
Rooker         		Mean: 1.26 		Best: 9.6 		Nº:6
Magana         		Mean: 0.73 		Best: 9.6 		Nº:6
Stoica         		Mean: 1.01 		Best: 9.6 		Nº:5
