########## REPORT GEN: 2 ##########
SPECIES: 
Grant          		Mean: 303.51 		Best: 897.45 		N:3
Markley        		Mean: 303.75 		Best: 897.45 		N:3

########## REPORT GEN: 15 ##########
SPECIES: 
Grant          		Mean: 183.35 		Best: 905.02 		N:5
Joseph         		Mean: 229.01 		Best: 903.61 		N:4
Dobson         		Mean: 153.47 		Best: 902.11 		N:6
Markley        		Mean: 303.56 		Best: 898.84 		N:3
Darden         		Mean: 182.98 		Best: 902.11 		N:5
Klaus          		Mean: 130.41 		Best: 897.45 		N:7
Mcgown         		Mean: 455.04 		Best: 897.45 		N:2
Oliver         		Mean: 303.77 		Best: 897.46 		N:3
Gordon         		Mean: 228.02 		Best: 897.45 		N:4
George         		Mean: 303.48 		Best: 897.45 		N:3
Jaeger         		Mean: 224.79 		Best: 897.45 		N:4
Brandt         		Mean: 448.74 		Best: 897.45 		N:2
Norman         		Mean: 226.91 		Best: 897.45 		N:4
Darden         		Mean: 183.39 		Best: 897.45 		N:5

########## REPORT GEN: 16 ##########
SPECIES: 
Markley        		Mean: 152.73 		Best: 905.02 		N:6
Brandt         		Mean: 153.13 		Best: 903.61 		N:6
Joseph         		Mean: 183.15 		Best: 898.84 		N:5
Dobson         		Mean: 101.69 		Best: 898.84 		N:9
Darden         		Mean: 130.33 		Best: 897.45 		N:7
George         		Mean: 182.45 		Best: 897.45 		N:5
Mcgown         		Mean: 130.43 		Best: 897.45 		N:7
Jaeger         		Mean: 152.51 		Best: 897.45 		N:6
Klaus          		Mean: 113.47 		Best: 897.45 		N:8
Oliver         		Mean: 302.92 		Best: 897.45 		N:3
Norman         		Mean: 304.64 		Best: 897.45 		N:3
Grant          		Mean: 227.82 		Best: 897.45 		N:4
Gordon         		Mean: 449.39 		Best: 897.45 		N:2

########## REPORT GEN: 17 ##########
SPECIES: 
Darden         		Mean: 182.82 		Best: 905.02 		N:5
Gordon         		Mean: 228.04 		Best: 903.61 		N:4
Dobson         		Mean: 151.79 		Best: 902.11 		N:6
George         		Mean: 303.65 		Best: 898.84 		N:3
Mcgown         		Mean: 151.86 		Best: 898.84 		N:6
Grant          		Mean: 182.9 		Best: 898.4 		N:5
Klaus          		Mean: 113.89 		Best: 897.45 		N:8
Joseph         		Mean: 455.41 		Best: 897.45 		N:2
Jaeger         		Mean: 301.32 		Best: 897.45 		N:3
Markley        		Mean: 182.37 		Best: 897.45 		N:5
Norman         		Mean: 305.04 		Best: 897.45 		N:3
Oliver         		Mean: 228.12 		Best: 897.45 		N:4
Brandt         		Mean: 182.41 		Best: 897.45 		N:5

########## REPORT GEN: 18 ##########
SPECIES: 
Darden         		Mean: 228.36 		Best: 905.02 		N:4
Norman         		Mean: 305.05 		Best: 903.61 		N:3
Markley        		Mean: 152.39 		Best: 902.11 		N:6
Dobson         		Mean: 304.96 		Best: 898.84 		N:3
Jaeger         		Mean: 303.38 		Best: 898.84 		N:3
Oliver         		Mean: 114.22 		Best: 898.84 		N:8
George         		Mean: 152.14 		Best: 897.45 		N:6
Mcgown         		Mean: 301.38 		Best: 897.45 		N:3
Brandt         		Mean: 181.27 		Best: 897.45 		N:5
Gordon         		Mean: 152.05 		Best: 897.45 		N:6
Joseph         		Mean: 299.7 		Best: 897.45 		N:3
Klaus          		Mean: 151.92 		Best: 897.45 		N:6
Darden         		Mean: 299.81 		Best: 897.45 		N:3

########## REPORT GEN: 19 ##########
SPECIES: 
Norman         		Mean: 227.09 		Best: 905.02 		N:4
Darden         		Mean: 228.27 		Best: 903.61 		N:4
Gordon         		Mean: 182.39 		Best: 903.61 		N:5
Klaus          		Mean: 228.28 		Best: 903.61 		N:4
Mcgown         		Mean: 152.26 		Best: 902.11 		N:6
Oliver         		Mean: 182.19 		Best: 898.84 		N:5
Brandt         		Mean: 82.59 		Best: 898.84 		N:11
George         		Mean: 182.34 		Best: 897.45 		N:5
Grant          		Mean: 113.25 		Best: 897.45 		N:8
Darden         		Mean: 449.04 		Best: 897.45 		N:2
Joseph         		Mean: 449.61 		Best: 897.45 		N:2
Markley        		Mean: 225.28 		Best: 897.45 		N:4
Dobson         		Mean: 300.29 		Best: 897.45 		N:3

########## REPORT GEN: 20 ##########
SPECIES: 
Gordon         		Mean: 75.79 		Best: 905.02 		N:12
Dobson         		Mean: 151.72 		Best: 905.02 		N:6
Darden         		Mean: 228.66 		Best: 904.75 		N:4
Oliver         		Mean: 129.97 		Best: 903.61 		N:7
Grant          		Mean: 181.11 		Best: 903.61 		N:5
Markley        		Mean: 113.34 		Best: 901.39 		N:8
Mcgown         		Mean: 151.02 		Best: 898.84 		N:6
Joseph         		Mean: 226.86 		Best: 897.45 		N:4
Brandt         		Mean: 180.39 		Best: 897.45 		N:5
George         		Mean: 450.4 		Best: 897.45 		N:2
Klaus          		Mean: 180.08 		Best: 897.45 		N:5
Norman         		Mean: 128.93 		Best: 897.45 		N:7
Darden         		Mean: 150.29 		Best: 897.45 		N:6

########## REPORT GEN: 21 ##########
SPECIES: 
Brandt         		Mean: 113.21 		Best: 905.02 		N:8
Darden         		Mean: 113.2 		Best: 905.02 		N:8
Mcgown         		Mean: 130.36 		Best: 904.75 		N:7
Darden         		Mean: 129.29 		Best: 903.61 		N:7
Grant          		Mean: 129.91 		Best: 903.61 		N:7
Norman         		Mean: 456.29 		Best: 903.61 		N:2
Oliver         		Mean: 181.39 		Best: 898.84 		N:5
Klaus          		Mean: 129.32 		Best: 897.45 		N:7
Joseph         		Mean: 151.19 		Best: 897.45 		N:6
Gordon         		Mean: 180.71 		Best: 897.45 		N:5
George         		Mean: 150.16 		Best: 897.45 		N:6
Markley        		Mean: 150.4 		Best: 897.45 		N:6
Dobson         		Mean: 180.43 		Best: 897.45 		N:5

########## REPORT GEN: 22 ##########
SPECIES: 
Norman         		Mean: 182.57 		Best: 905.02 		N:5
Markley        		Mean: 454.63 		Best: 905.02 		N:2
Dobson         		Mean: 75.78 		Best: 904.75 		N:12
Darden         		Mean: 181.62 		Best: 903.61 		N:5
Grant          		Mean: 226.84 		Best: 903.61 		N:4
Joseph         		Mean: 113.22 		Best: 903.61 		N:8
Klaus          		Mean: 113.14 		Best: 901.39 		N:8
Oliver         		Mean: 90.81 		Best: 898.84 		N:10
Mcgown         		Mean: 226.79 		Best: 897.5 		N:4
Gordon         		Mean: 225.69 		Best: 897.45 		N:4
Brandt         		Mean: 225.05 		Best: 897.45 		N:4
George         		Mean: 225.27 		Best: 897.45 		N:4
Darden         		Mean: 150.4 		Best: 897.45 		N:6

########## REPORT GEN: 23 ##########
SPECIES: 
Norman         		Mean: 181.17 		Best: 905.02 		N:5
Grant          		Mean: 181.97 		Best: 905.02 		N:5
George         		Mean: 151.01 		Best: 905.02 		N:6
Mcgown         		Mean: 227.11 		Best: 904.75 		N:4
Darden         		Mean: 100.83 		Best: 903.61 		N:9
Gordon         		Mean: 151.1 		Best: 903.61 		N:6
Klaus          		Mean: 151.31 		Best: 901.39 		N:6
Oliver         		Mean: 100.94 		Best: 901.39 		N:9
Joseph         		Mean: 181.27 		Best: 897.5 		N:5
Darden         		Mean: 82.24 		Best: 897.45 		N:11
Markley        		Mean: 129.39 		Best: 897.45 		N:7
Brandt         		Mean: 150.39 		Best: 897.45 		N:6
Dobson         		Mean: 225.66 		Best: 897.45 		N:4

########## REPORT GEN: 24 ##########
SPECIES: 
Mcgown         		Mean: 113.65 		Best: 905.02 		N:8
Klaus          		Mean: 227.0 		Best: 905.02 		N:4
Joseph         		Mean: 75.37 		Best: 905.02 		N:12
Darden         		Mean: 226.97 		Best: 904.75 		N:4
Dobson         		Mean: 91.39 		Best: 905.02 		N:10
Oliver         		Mean: 100.83 		Best: 903.61 		N:9
Brandt         		Mean: 182.22 		Best: 901.39 		N:5
Norman         		Mean: 225.83 		Best: 897.45 		N:4
Gordon         		Mean: 225.65 		Best: 897.45 		N:4
Grant          		Mean: 180.63 		Best: 897.45 		N:5
Darden         		Mean: 128.96 		Best: 897.45 		N:7
Markley        		Mean: 75.19 		Best: 897.45 		N:12
George         		Mean: 150.42 		Best: 897.45 		N:6

########## REPORT GEN: 25 ##########
SPECIES: 
Klaus          		Mean: 151.37 		Best: 905.92 		N:6
Mcgown         		Mean: 69.94 		Best: 905.02 		N:13
Darden         		Mean: 113.54 		Best: 903.61 		N:8
Joseph         		Mean: 113.67 		Best: 905.02 		N:8
Oliver         		Mean: 226.54 		Best: 897.45 		N:4
Norman         		Mean: 100.56 		Best: 897.45 		N:9
Grant          		Mean: 129.5 		Best: 897.45 		N:7
Dobson         		Mean: 90.24 		Best: 897.45 		N:10
Gordon         		Mean: 180.43 		Best: 897.45 		N:5
Darden         		Mean: 112.77 		Best: 897.45 		N:8
George         		Mean: 300.49 		Best: 897.45 		N:3
Markley        		Mean: 150.44 		Best: 897.45 		N:6
Brandt         		Mean: 301.07 		Best: 897.45 		N:3

########## REPORT GEN: 26 ##########
SPECIES: 
Mcgown         		Mean: 227.13 		Best: 905.92 		N:4
Klaus          		Mean: 82.53 		Best: 904.75 		N:11
Darden         		Mean: 302.78 		Best: 903.61 		N:3
Markley        		Mean: 82.52 		Best: 903.61 		N:11
Brandt         		Mean: 113.56 		Best: 901.39 		N:8
Gordon         		Mean: 452.85 		Best: 897.45 		N:2
Darden         		Mean: 180.49 		Best: 897.45 		N:5
Oliver         		Mean: 180.31 		Best: 897.45 		N:5
Grant          		Mean: 129.06 		Best: 897.45 		N:7
Dobson         		Mean: 129.03 		Best: 897.45 		N:7
Norman         		Mean: 300.46 		Best: 897.45 		N:3
George         		Mean: 150.42 		Best: 897.45 		N:6
Joseph         		Mean: 150.88 		Best: 897.45 		N:6

########## REPORT GEN: 27 ##########
SPECIES: 
Norman         		Mean: 181.4 		Best: 905.92 		N:5
Joseph         		Mean: 151.28 		Best: 905.92 		N:6
Klaus          		Mean: 151.18 		Best: 904.75 		N:6
Brandt         		Mean: 151.45 		Best: 903.61 		N:6
Gordon         		Mean: 129.55 		Best: 901.39 		N:7
Markley        		Mean: 150.79 		Best: 897.45 		N:6
Darden         		Mean: 113.11 		Best: 897.45 		N:8
Dobson         		Mean: 180.15 		Best: 897.45 		N:5
Mcgown         		Mean: 180.71 		Best: 897.45 		N:5
Oliver         		Mean: 448.74 		Best: 897.45 		N:2
George         		Mean: 129.14 		Best: 897.45 		N:7
Darden         		Mean: 225.95 		Best: 897.45 		N:4
Grant          		Mean: 129.11 		Best: 897.45 		N:7

########## REPORT GEN: 28 ##########
SPECIES: 
Dobson         		Mean: 302.73 		Best: 905.92 		N:3
Darden         		Mean: 129.57 		Best: 905.92 		N:7
Mcgown         		Mean: 129.51 		Best: 904.75 		N:7
Gordon         		Mean: 129.43 		Best: 903.61 		N:7
Markley        		Mean: 151.09 		Best: 903.61 		N:6
Darden         		Mean: 100.73 		Best: 901.39 		N:9
Grant          		Mean: 100.41 		Best: 897.45 		N:9
George         		Mean: 302.18 		Best: 897.45 		N:3
Norman         		Mean: 112.96 		Best: 897.45 		N:8
Klaus          		Mean: 180.53 		Best: 897.45 		N:5
Joseph         		Mean: 299.15 		Best: 897.45 		N:3
Brandt         		Mean: 180.5 		Best: 897.45 		N:5
Oliver         		Mean: 180.73 		Best: 897.45 		N:5

