########## REPORT GEN: 2 ##########
SPECIES: 
Carter         		Mean: 88.42 		Best: 185.97 		Nº:2
Whitaker       		Mean: 29.52 		Best: 185.97 		Nº:6
Wilson         		Mean: 32.68 		Best: 185.97 		Nº:4
Morrow         		Mean: 40.37 		Best: 185.97 		Nº:3
Richards       		Mean: 46.73 		Best: 185.97 		Nº:2
Huppert        		Mean: 38.36 		Best: 177.1 		Nº:3
Leland         		Mean: 35.12 		Best: 177.1 		Nº:5
Leggett        		Mean: 42.64 		Best: 177.1 		Nº:4
Winfield       		Mean: 20.98 		Best: 177.1 		Nº:5
Davis          		Mean: 28.85 		Best: 177.1 		Nº:6
Cortez         		Mean: 11.09 		Best: 177.1 		Nº:4
Stephens       		Mean: 21.03 		Best: 167.72 		Nº:4
Caines         		Mean: 42.03 		Best: 167.72 		Nº:2
Montgomery     		Mean: 21.01 		Best: 167.72 		Nº:4
Roussell       		Mean: 42.15 		Best: 167.72 		Nº:2
Holloway       		Mean: 0.0  		Best: 0.0 		Nº:2

########## REPORT GEN: 10 ##########
SPECIES: 
Wright         		Mean: 23.44 		Best: 185.97 		Nº:4
Franklin       		Mean: 21.71 		Best: 185.97 		Nº:5
Desrochers     		Mean: 58.98 		Best: 185.97 		Nº:3
Jaquez         		Mean: 19.93 		Best: 185.97 		Nº:6
Richardson     		Mean: 29.15 		Best: 185.97 		Nº:5
Zins           		Mean: 13.83 		Best: 185.97 		Nº:8
Carter         		Mean: 44.83 		Best: 185.97 		Nº:4
Whitaker       		Mean: 35.45 		Best: 185.97 		Nº:5
Leggett        		Mean: 14.02 		Best: 185.97 		Nº:8
Winfield       		Mean: 22.76 		Best: 185.97 		Nº:4
Davis          		Mean: 21.68 		Best: 185.97 		Nº:5
Stephens       		Mean: 34.87 		Best: 185.97 		Nº:4
Caines         		Mean: 22.74 		Best: 185.97 		Nº:4
Roussell       		Mean: 22.82 		Best: 185.97 		Nº:4
Bubrig         		Mean: 11.1 		Best: 177.1 		Nº:4
Wilson         		Mean: 14.54 		Best: 177.1 		Nº:6
Huppert        		Mean: 9.59 		Best: 177.1 		Nº:6
Leland         		Mean: 23.87 		Best: 177.1 		Nº:6
Cortez         		Mean: 88.55 		Best: 177.1 		Nº:2
Montgomery     		Mean: 11.1 		Best: 177.1 		Nº:4
Holloway       		Mean: 44.55 		Best: 177.1 		Nº:2
Gray           		Mean: 26.96 		Best: 167.72 		Nº:5
Morrow         		Mean: 4.68 		Best: 167.72 		Nº:6
Richards       		Mean: 10.54 		Best: 167.72 		Nº:4

########## REPORT GEN: 11 ##########
SPECIES: 
Franklin       		Mean: 21.71 		Best: 185.97 		Nº:5
Desrochers     		Mean: 24.85 		Best: 185.97 		Nº:6
Jaquez         		Mean: 23.27 		Best: 185.97 		Nº:4
Richardson     		Mean: 15.05 		Best: 185.97 		Nº:6
Zins           		Mean: 33.77 		Best: 185.97 		Nº:4
