########## REPORT GEN: 2 ##########
SPECIES: 
SPECIES: 
Hunt           		Mean: 91.82 		Best: 950.39 		N:10
Gittens        		Mean: 116.75 		Best: 950.39 		N:8
Clark          		Mean: 103.0 		Best: 950.39 		N:9
Walker         		Mean: 92.94 		Best: 950.39 		N:10
Tim            		Mean: 115.42 		Best: 950.39 		N:8
Shriver        		Mean: 102.9 		Best: 950.39 		N:9
Starr          		Mean: 132.41 		Best: 947.8 		N:7
Strohman       		Mean: 234.69 		Best: 943.16 		N:4
Jara           		Mean: 76.91 		Best: 926.47 		N:12
Yuro           		Mean: 153.06 		Best: 926.04 		N:6
Corry          		Mean: 114.21 		Best: 901.04 		N:8

########## REPORT GEN: 27 ##########
SPECIES: 
Gittens        		Mean: 184.49 		Best: 950.39 		N:5
Clark          		Mean: 71.15 		Best: 950.39 		N:13
Strohman       		Mean: 132.45 		Best: 950.39 		N:7
Corry          		Mean: 92.37 		Best: 950.39 		N:10
Starr          		Mean: 84.53 		Best: 950.39 		N:11
Tim            		Mean: 232.55 		Best: 947.8 		N:4
Jara           		Mean: 91.47 		Best: 926.47 		N:10
Walker         		Mean: 182.95 		Best: 926.04 		N:5
Shriver        		Mean: 114.94 		Best: 926.04 		N:8
Hunt           		Mean: 151.84 		Best: 908.95 		N:6
Yuro           		Mean: 182.29 		Best: 900.11 		N:5

########## REPORT GEN: 28 ##########
SPECIES: 
Corry          		Mean: 65.78 		Best: 950.39 		N:14
Tim            		Mean: 132.77 		Best: 950.39 		N:7
Clark          		Mean: 92.39 		Best: 950.39 		N:10
Gittens        		Mean: 91.59 		Best: 950.39 		N:10
Jara           		Mean: 61.23 		Best: 947.8 		N:15
Strohman       		Mean: 185.42 		Best: 934.0 		N:5
Yuro           		Mean: 130.7 		Best: 926.47 		N:7
Shriver        		Mean: 152.93 		Best: 926.04 		N:6
Starr          		Mean: 227.27 		Best: 900.08 		N:4
Hunt           		Mean: 227.45 		Best: 900.17 		N:4
Walker         		Mean: 182.5 		Best: 901.89 		N:5

########## REPORT GEN: 29 ##########
SPECIES: 
Shriver        		Mean: 102.95 		Best: 950.39 		N:9
Starr          		Mean: 184.3 		Best: 950.39 		N:5
Hunt           		Mean: 116.06 		Best: 950.39 		N:8
Strohman       		Mean: 92.02 		Best: 947.8 		N:10
Tim            		Mean: 131.46 		Best: 934.0 		N:7
Jara           		Mean: 130.88 		Best: 926.47 		N:7
Yuro           		Mean: 83.35 		Best: 926.47 		N:11
Gittens        		Mean: 152.72 		Best: 926.04 		N:6
Corry          		Mean: 152.26 		Best: 902.19 		N:6
Clark          		Mean: 91.16 		Best: 900.97 		N:10
Walker         		Mean: 151.6 		Best: 900.08 		N:6

########## REPORT GEN: 30 ##########
SPECIES: 
Walker         		Mean: 115.74 		Best: 953.38 		N:8
Strohman       		Mean: 114.78 		Best: 950.39 		N:8
Jara           		Mean: 71.11 		Best: 950.39 		N:13
Gittens        		Mean: 102.94 		Best: 950.39 		N:9
Tim            		Mean: 152.42 		Best: 950.39 		N:6
Corry          		Mean: 91.6 		Best: 929.6 		N:10
Shriver        		Mean: 114.75 		Best: 926.47 		N:8
Starr          		Mean: 130.66 		Best: 926.04 		N:7
Hunt           		Mean: 130.82 		Best: 926.04 		N:7
Yuro           		Mean: 152.76 		Best: 926.04 		N:6
Clark          		Mean: 91.17 		Best: 900.08 		N:10

########## REPORT GEN: 31 ##########
SPECIES: 
Hunt           		Mean: 103.12 		Best: 953.38 		N:9
Jara           		Mean: 83.64 		Best: 950.39 		N:11
Corry          		Mean: 102.55 		Best: 950.39 		N:9
Shriver        		Mean: 131.69 		Best: 950.39 		N:7
Clark          		Mean: 76.77 		Best: 950.39 		N:12
Strohman       		Mean: 84.0 		Best: 950.39 		N:11
Walker         		Mean: 76.28 		Best: 950.39 		N:12
Tim            		Mean: 131.53 		Best: 950.39 		N:7
Starr          		Mean: 152.63 		Best: 926.47 		N:6
Yuro           		Mean: 130.44 		Best: 914.39 		N:7
Gittens        		Mean: 114.22 		Best: 907.5 		N:8

########## REPORT GEN: 32 ##########
SPECIES: 
Strohman       		Mean: 102.53 		Best: 960.05 		N:9
Shriver        		Mean: 230.8 		Best: 950.39 		N:4
Clark          		Mean: 93.38 		Best: 950.39 		N:10
Jara           		Mean: 92.68 		Best: 953.38 		N:10
Corry          		Mean: 114.68 		Best: 937.38 		N:8
Gittens        		Mean: 65.49 		Best: 928.57 		N:14
Walker         		Mean: 114.81 		Best: 929.43 		N:8
Starr          		Mean: 114.24 		Best: 926.47 		N:8
Tim            		Mean: 182.8 		Best: 914.39 		N:5
Yuro           		Mean: 101.34 		Best: 900.06 		N:9
Hunt           		Mean: 91.05 		Best: 900.22 		N:10

########## REPORT GEN: 33 ##########
SPECIES: 
Shriver        		Mean: 114.73 		Best: 960.05 		N:8
Clark          		Mean: 131.85 		Best: 960.05 		N:7
Walker         		Mean: 92.2 		Best: 958.84 		N:10
Tim            		Mean: 115.89 		Best: 950.39 		N:8
Yuro           		Mean: 153.14 		Best: 950.39 		N:6
Hunt           		Mean: 102.36 		Best: 950.39 		N:9
Strohman       		Mean: 70.67 		Best: 937.38 		N:13
Corry          		Mean: 183.44 		Best: 928.1 		N:5
Jara           		Mean: 129.66 		Best: 900.1 		N:7
Gittens        		Mean: 302.69 		Best: 900.06 		N:3
Starr          		Mean: 129.34 		Best: 905.84 		N:7

########## REPORT GEN: 34 ##########
SPECIES: 
Shriver        		Mean: 230.97 		Best: 960.05 		N:4
Clark          		Mean: 103.15 		Best: 960.05 		N:9
Yuro           		Mean: 101.56 		Best: 960.05 		N:9
Tim            		Mean: 184.38 		Best: 958.84 		N:5
Corry          		Mean: 102.28 		Best: 950.39 		N:9
Gittens        		Mean: 101.97 		Best: 950.39 		N:9
Starr          		Mean: 153.1 		Best: 950.39 		N:6
Hunt           		Mean: 76.5 		Best: 937.38 		N:12
Strohman       		Mean: 101.32 		Best: 900.12 		N:9
Jara           		Mean: 151.64 		Best: 900.06 		N:6
Walker         		Mean: 225.51 		Best: 900.06 		N:4

########## REPORT GEN: 35 ##########
SPECIES: 
Yuro           		Mean: 185.77 		Best: 960.05 		N:5
Starr          		Mean: 102.62 		Best: 960.05 		N:9
Walker         		Mean: 133.4 		Best: 960.05 		N:7
Tim            		Mean: 185.1 		Best: 958.84 		N:5
Hunt           		Mean: 83.53 		Best: 950.39 		N:11
Jara           		Mean: 83.1 		Best: 950.39 		N:11
Corry          		Mean: 129.96 		Best: 900.07 		N:7
Gittens        		Mean: 100.78 		Best: 900.13 		N:9
Clark          		Mean: 129.35 		Best: 900.06 		N:7
Strohman       		Mean: 226.56 		Best: 900.06 		N:4
Shriver        		Mean: 181.3 		Best: 900.06 		N:5

########## REPORT GEN: 36 ##########
SPECIES: 
Yuro           		Mean: 186.56 		Best: 960.05 		N:5
Walker         		Mean: 92.18 		Best: 960.05 		N:10
Clark          		Mean: 114.57 		Best: 960.05 		N:8
Hunt           		Mean: 153.02 		Best: 950.39 		N:6
Jara           		Mean: 130.82 		Best: 950.39 		N:7
Corry          		Mean: 70.21 		Best: 950.39 		N:13
Strohman       		Mean: 150.51 		Best: 900.06 		N:6
Shriver        		Mean: 181.76 		Best: 900.06 		N:5
Starr          		Mean: 75.21 		Best: 900.06 		N:12
Gittens        		Mean: 150.36 		Best: 900.06 		N:6
Tim            		Mean: 150.4 		Best: 900.13 		N:6

########## REPORT GEN: 37 ##########
SPECIES: 
Yuro           		Mean: 83.17 		Best: 960.05 		N:11
Corry          		Mean: 101.59 		Best: 960.05 		N:9
Strohman       		Mean: 132.45 		Best: 960.05 		N:7
Shriver        		Mean: 82.78 		Best: 960.05 		N:11
Tim            		Mean: 101.56 		Best: 958.84 		N:9
Starr          		Mean: 230.37 		Best: 951.8 		N:4
Clark          		Mean: 131.41 		Best: 950.39 		N:7
Gittens        		Mean: 101.12 		Best: 950.39 		N:9
Jara           		Mean: 151.0 		Best: 900.06 		N:6
Walker         		Mean: 90.48 		Best: 900.06 		N:10
Hunt           		Mean: 90.28 		Best: 900.06 		N:10

########## REPORT GEN: 38 ##########
SPECIES: 
Yuro           		Mean: 131.2 		Best: 960.05 		N:7
Corry          		Mean: 152.63 		Best: 960.05 		N:6
Tim            		Mean: 153.15 		Best: 960.05 		N:6
Starr          		Mean: 101.71 		Best: 960.05 		N:9
Shriver        		Mean: 101.27 		Best: 958.84 		N:9
Strohman       		Mean: 115.33 		Best: 951.8 		N:8
Clark          		Mean: 91.29 		Best: 950.39 		N:10
Walker         		Mean: 114.3 		Best: 950.39 		N:8
Hunt           		Mean: 130.05 		Best: 921.4 		N:7
Jara           		Mean: 129.32 		Best: 903.46 		N:7
Gittens        		Mean: 129.05 		Best: 900.06 		N:7

########## REPORT GEN: 39 ##########
SPECIES: 
Shriver        		Mean: 132.15 		Best: 960.05 		N:7
Strohman       		Mean: 91.22 		Best: 960.05 		N:10
Clark          		Mean: 66.5 		Best: 960.05 		N:14
Walker         		Mean: 82.89 		Best: 960.05 		N:11
Gittens        		Mean: 91.24 		Best: 960.05 		N:10
Corry          		Mean: 101.67 		Best: 950.39 		N:9
Jara           		Mean: 75.61 		Best: 938.96 		N:12
Starr          		Mean: 129.65 		Best: 929.25 		N:7
Yuro           		Mean: 225.54 		Best: 900.06 		N:4
Hunt           		Mean: 302.5 		Best: 900.06 		N:3
Tim            		Mean: 129.07 		Best: 900.06 		N:7

########## REPORT GEN: 40 ##########
SPECIES: 
