########## REPORT GEN: 2 ##########
SPECIES: 
Hernandez      		Mean: 472.12 		Best: 938.72 		N:2
Stull          		Mean: 307.96 		Best: 925.49 		N:3
Wheeles        		Mean: 308.05 		Best: 921.97 		N:3

########## REPORT GEN: 10 ##########
SPECIES: 
Drake          		Mean: 469.9 		Best: 941.16 		N:2
Wheeles        		Mean: 313.68 		Best: 941.16 		N:3
Travis         		Mean: 236.17 		Best: 941.16 		N:4
Brooks         		Mean: 135.76 		Best: 941.16 		N:7
Avila          		Mean: 135.35 		Best: 941.16 		N:7
Roberts        		Mean: 119.45 		Best: 941.16 		N:8
Wolf           		Mean: 94.59 		Best: 941.16 		N:10
Hernandez      		Mean: 479.13 		Best: 941.16 		N:2
Smith          		Mean: 310.67 		Best: 941.16 		N:3
Stull          		Mean: 185.67 		Best: 925.49 		N:5
Gunia          		Mean: 461.91 		Best: 925.49 		N:2
Smith          		Mean: 462.12 		Best: 921.97 		N:2

########## REPORT GEN: 11 ##########
SPECIES: 
Roberts        		Mean: 317.11 		Best: 941.16 		N:3
Wheeles        		Mean: 471.69 		Best: 941.16 		N:2
Brooks         		Mean: 105.1 		Best: 941.16 		N:9
Wolf           		Mean: 237.23 		Best: 941.16 		N:4
Smith          		Mean: 157.42 		Best: 941.16 		N:6
Berry          		Mean: 189.28 		Best: 941.16 		N:5
Drake          		Mean: 232.68 		Best: 939.13 		N:4
Stull          		Mean: 311.41 		Best: 928.13 		N:3
Avila          		Mean: 308.18 		Best: 925.49 		N:3
Smith          		Mean: 154.26 		Best: 921.97 		N:6
Gunia          		Mean: 305.7 		Best: 913.78 		N:3

########## REPORT GEN: 12 ##########
SPECIES: 
Roberts        		Mean: 188.21 		Best: 941.16 		N:5
Berry          		Mean: 471.82 		Best: 941.16 		N:2
Curry          		Mean: 312.56 		Best: 941.16 		N:3
Wheeles        		Mean: 157.77 		Best: 941.16 		N:6
Wolf           		Mean: 469.93 		Best: 941.16 		N:2
Travis         		Mean: 190.01 		Best: 941.16 		N:5
Stull          		Mean: 235.22 		Best: 941.16 		N:4
Hernandez      		Mean: 317.71 		Best: 941.16 		N:3
Smith          		Mean: 469.68 		Best: 929.42 		N:2
Drake          		Mean: 309.36 		Best: 925.49 		N:3
Patterson      		Mean: 311.32 		Best: 925.49 		N:3
Brooks         		Mean: 233.43 		Best: 921.58 		N:4
Gunia          		Mean: 183.12 		Best: 914.29 		N:5

########## REPORT GEN: 13 ##########
SPECIES: 
Roberts        		Mean: 73.37 		Best: 941.16 		N:13
Berry          		Mean: 118.61 		Best: 941.16 		N:8
Wheeles        		Mean: 235.59 		Best: 941.16 		N:4
Travis         		Mean: 470.43 		Best: 941.16 		N:2
Stull          		Mean: 118.8 		Best: 941.16 		N:8
Wolf           		Mean: 314.17 		Best: 935.07 		N:3
Drake          		Mean: 115.72 		Best: 926.94 		N:8
Patterson      		Mean: 232.59 		Best: 925.49 		N:4
Gunia          		Mean: 308.01 		Best: 925.49 		N:3
Argueta        		Mean: 467.22 		Best: 921.58 		N:2
Brooks         		Mean: 466.66 		Best: 921.58 		N:2

########## REPORT GEN: 14 ##########
SPECIES: 
Travis         		Mean: 135.44 		Best: 941.16 		N:7
Stull          		Mean: 314.88 		Best: 941.16 		N:3
Hernandez      		Mean: 315.04 		Best: 941.16 		N:3
Curry          		Mean: 156.88 		Best: 941.16 		N:6
Argueta        		Mean: 231.83 		Best: 941.16 		N:4
Smith          		Mean: 234.23 		Best: 941.16 		N:4
Drake          		Mean: 153.97 		Best: 929.09 		N:6
Berry          		Mean: 232.03 		Best: 925.49 		N:4
Wolf           		Mean: 308.64 		Best: 925.49 		N:3
Brooks         		Mean: 307.81 		Best: 921.58 		N:3
Bailey         		Mean: 307.25 		Best: 919.74 		N:3
Canter         		Mean: 131.97 		Best: 919.89 		N:7
Patterson      		Mean: 458.55 		Best: 914.43 		N:2

########## REPORT GEN: 15 ##########
SPECIES: 
Stull          		Mean: 157.34 		Best: 941.16 		N:6
Hernandez      		Mean: 238.17 		Best: 941.16 		N:4
Curry          		Mean: 314.79 		Best: 941.16 		N:3
Argueta        		Mean: 94.65 		Best: 941.16 		N:10
