########## REPORT GEN: 2 ##########
SPECIES: 
Mclemore       		Mean: 104.18 		Best: 934.03 		N:9
Campbell       		Mean: 186.87 		Best: 934.03 		N:5
Parker         		Mean: 232.3 		Best: 928.57 		N:4
Crawford       		Mean: 77.39 		Best: 928.57 		N:12
Wilson         		Mean: 186.49 		Best: 928.36 		N:5
Hanson         		Mean: 156.12 		Best: 928.36 		N:6
Kurtz          		Mean: 229.37 		Best: 909.0 		N:4
Wade           		Mean: 231.93 		Best: 901.39 		N:4
Horton         		Mean: 103.54 		Best: 901.39 		N:9
Siefke         		Mean: 116.61 		Best: 901.39 		N:8
Burr           		Mean: 103.95 		Best: 901.39 		N:9
Mcqueen        		Mean: 185.12 		Best: 900.73 		N:5
Porter         		Mean: 184.21 		Best: 901.02 		N:5
Stark          		Mean: 185.03 		Best: 900.77 		N:5
Bowers         		Mean: 184.73 		Best: 901.39 		N:5
Sides          		Mean: 154.19 		Best: 900.82 		N:6
Miles          		Mean: 185.74 		Best: 900.77 		N:5
Denton         		Mean: 232.21 		Best: 901.39 		N:4

########## REPORT GEN: 12 ##########
SPECIES: 
Christian      		Mean: 156.32 		Best: 934.03 		N:6
Hanson         		Mean: 154.78 		Best: 934.03 		N:6
Burr           		Mean: 104.15 		Best: 934.03 		N:9
Stark          		Mean: 71.6 		Best: 934.03 		N:13
Bowers         		Mean: 93.32 		Best: 934.03 		N:10
Horton         		Mean: 133.07 		Best: 928.57 		N:7
Siefke         		Mean: 103.5 		Best: 928.57 		N:9
Porter         		Mean: 155.09 		Best: 928.36 		N:6
Mcqueen        		Mean: 185.07 		Best: 909.0 		N:5
Mclemore       		Mean: 51.62 		Best: 901.39 		N:18
Wilson         		Mean: 185.46 		Best: 901.39 		N:5
Crawford       		Mean: 307.74 		Best: 900.77 		N:3
Denton         		Mean: 183.32 		Best: 900.82 		N:5
Bitter         		Mean: 230.16 		Best: 900.77 		N:4
Miles          		Mean: 132.58 		Best: 900.36 		N:7
Kurtz          		Mean: 153.91 		Best: 900.77 		N:6
Sides          		Mean: 93.38 		Best: 901.39 		N:10
Campbell       		Mean: 306.29 		Best: 900.54 		N:3
Parker         		Mean: 452.81 		Best: 900.25 		N:2
Wade           		Mean: 132.32 		Best: 900.56 		N:7

########## REPORT GEN: 13 ##########
SPECIES: 
Mclemore       		Mean: 92.74 		Best: 934.03 		N:10
Denton         		Mean: 117.0 		Best: 934.03 		N:8
Bitter         		Mean: 84.33 		Best: 934.03 		N:11
Wade           		Mean: 93.07 		Best: 934.03 		N:10
Miles          		Mean: 103.24 		Best: 928.36 		N:9
Burr           		Mean: 185.32 		Best: 908.86 		N:5
Bowers         		Mean: 84.24 		Best: 908.86 		N:11
Parker         		Mean: 83.89 		Best: 908.75 		N:11
Christian      		Mean: 154.74 		Best: 901.39 		N:6
Kurtz          		Mean: 115.79 		Best: 901.04 		N:8
Crawford       		Mean: 307.12 		Best: 900.89 		N:3
Siefke         		Mean: 131.53 		Best: 900.55 		N:7
Wilson         		Mean: 115.11 		Best: 900.77 		N:8
Hanson         		Mean: 115.01 		Best: 900.34 		N:8
Horton         		Mean: 84.24 		Best: 900.77 		N:11
Mcqueen        		Mean: 231.66 		Best: 900.4 		N:4
Porter         		Mean: 116.14 		Best: 901.39 		N:8
Stark          		Mean: 152.64 		Best: 900.63 		N:6
Sides          		Mean: 306.91 		Best: 900.55 		N:3

########## REPORT GEN: 14 ##########
SPECIES: 
Wade           		Mean: 116.38 		Best: 934.03 		N:8
Miles          		Mean: 84.52 		Best: 934.03 		N:11
Porter         		Mean: 154.38 		Best: 934.03 		N:6
Stark          		Mean: 187.26 		Best: 928.36 		N:5
Mclemore       		Mean: 132.57 		Best: 908.86 		N:7
Bitter         		Mean: 84.34 		Best: 908.75 		N:11
Wilson         		Mean: 152.9 		Best: 900.89 		N:6
Campbell       		Mean: 182.83 		Best: 900.55 		N:5
Kurtz          		Mean: 102.94 		Best: 900.49 		N:9
Hanson         		Mean: 305.69 		Best: 900.37 		N:3
Siefke         		Mean: 183.64 		Best: 900.34 		N:5
Denton         		Mean: 92.6 		Best: 900.32 		N:10
Horton         		Mean: 228.59 		Best: 900.32 		N:4
Bowers         		Mean: 115.6 		Best: 900.55 		N:8
Sides          		Mean: 305.23 		Best: 900.34 		N:3
Burr           		Mean: 130.54 		Best: 900.35 		N:7
Parker         		Mean: 153.99 		Best: 900.32 		N:6
Mcqueen        		Mean: 304.19 		Best: 900.24 		N:3
Christian      		Mean: 306.43 		Best: 900.26 		N:3

########## REPORT GEN: 15 ##########
SPECIES: 
Porter         		Mean: 233.62 		Best: 934.03 		N:4
Stark          		Mean: 92.45 		Best: 934.03 		N:10
Parker         		Mean: 102.74 		Best: 934.03 		N:9
Mcqueen        		Mean: 131.77 		Best: 934.03 		N:7
Denton         		Mean: 131.86 		Best: 928.25 		N:7
Wilson         		Mean: 154.65 		Best: 923.86 		N:6
Miles          		Mean: 102.54 		Best: 908.86 		N:9
Hanson         		Mean: 154.01 		Best: 908.75 		N:6
Siefke         		Mean: 153.98 		Best: 900.55 		N:6
Sides          		Mean: 184.24 		Best: 900.65 		N:5
Wade           		Mean: 101.99 		Best: 900.89 		N:9
Mclemore       		Mean: 306.16 		Best: 900.38 		N:3
Kurtz          		Mean: 61.35 		Best: 900.38 		N:15
Bowers         		Mean: 182.53 		Best: 900.29 		N:5
Horton         		Mean: 83.81 		Best: 900.52 		N:11
Campbell       		Mean: 102.41 		Best: 900.32 		N:9
Bitter         		Mean: 152.66 		Best: 900.34 		N:6
Burr           		Mean: 183.32 		Best: 900.28 		N:5
Christian      		Mean: 152.52 		Best: 900.24 		N:6

########## REPORT GEN: 16 ##########
SPECIES: 
Stark          		Mean: 103.01 		Best: 934.03 		N:9
Wilson         		Mean: 71.04 		Best: 934.03 		N:13
Hanson         		Mean: 61.57 		Best: 934.03 		N:15
Bowers         		Mean: 77.21 		Best: 934.03 		N:12
Horton         		Mean: 70.8 		Best: 928.25 		N:13
Wade           		Mean: 92.2 		Best: 908.86 		N:10
Denton         		Mean: 228.85 		Best: 906.49 		N:4
Burr           		Mean: 90.75 		Best: 900.97 		N:10
Porter         		Mean: 153.62 		Best: 900.5 		N:6
Siefke         		Mean: 76.54 		Best: 900.83 		N:12
Bitter         		Mean: 76.38 		Best: 900.34 		N:12
Parker         		Mean: 304.58 		Best: 900.32 		N:3
Mclemore       		Mean: 154.09 		Best: 900.34 		N:6
Kurtz          		Mean: 114.61 		Best: 900.38 		N:8
Mcqueen        		Mean: 153.52 		Best: 900.34 		N:6
Miles          		Mean: 183.73 		Best: 900.97 		N:5
Sides          		Mean: 102.01 		Best: 900.24 		N:9
Christian      		Mean: 114.25 		Best: 900.27 		N:8
Campbell       		Mean: 180.55 		Best: 900.19 		N:5

########## REPORT GEN: 17 ##########
SPECIES: 
Stark          		Mean: 154.1 		Best: 934.03 		N:6
Hanson         		Mean: 102.24 		Best: 934.03 		N:9
Bowers         		Mean: 102.76 		Best: 934.03 		N:9
Christian      		Mean: 92.3 		Best: 934.03 		N:10
Parker         		Mean: 153.73 		Best: 928.25 		N:6
Sides          		Mean: 131.36 		Best: 908.75 		N:7
Wade           		Mean: 76.56 		Best: 906.49 		N:12
Kurtz          		Mean: 114.79 		Best: 900.62 		N:8
