########## REPORT GEN: 2 ##########
SPECIES: 
Berry          		Mean: 114.13 		Best: 906.73 		N:8
Morris         		Mean: 152.75 		Best: 906.28 		N:6
Ferrell        		Mean: 181.59 		Best: 905.71 		N:5
Lee            		Mean: 90.87 		Best: 905.61 		N:10
Tuggle         		Mean: 113.95 		Best: 905.42 		N:8
Jones          		Mean: 90.88 		Best: 904.55 		N:10
Koehn          		Mean: 151.63 		Best: 903.28 		N:6
Nance          		Mean: 130.01 		Best: 899.35 		N:7
Oldham         		Mean: 129.49 		Best: 895.92 		N:7
Collazo        		Mean: 451.88 		Best: 895.13 		N:2

########## REPORT GEN: 15 ##########
SPECIES: 
Ferrell        		Mean: 114.28 		Best: 923.29 		N:8
Aguilar        		Mean: 183.01 		Best: 923.13 		N:5
Nance          		Mean: 70.2 		Best: 922.91 		N:13
Burke          		Mean: 75.99 		Best: 921.6 		N:12
Koehn          		Mean: 114.12 		Best: 919.13 		N:8
Harris         		Mean: 228.96 		Best: 918.97 		N:4
Wegner         		Mean: 301.93 		Best: 911.95 		N:3
Jones          		Mean: 130.46 		Best: 909.06 		N:7
Oldham         		Mean: 82.65 		Best: 908.65 		N:11
Lee            		Mean: 228.16 		Best: 907.66 		N:4
Berry          		Mean: 65.09 		Best: 907.66 		N:14
Morris         		Mean: 100.96 		Best: 907.18 		N:9
Collazo        		Mean: 47.91 		Best: 907.31 		N:19
Kotterna       		Mean: 100.92 		Best: 902.01 		N:9
Tuggle         		Mean: 82.63 		Best: 900.83 		N:11
Andrews        		Mean: 75.52 		Best: 899.92 		N:12

########## REPORT GEN: 16 ##########
SPECIES: 
Koehn          		Mean: 306.53 		Best: 923.2 		N:3
Ferrell        		Mean: 151.47 		Best: 921.87 		N:6
Tuggle         		Mean: 305.35 		Best: 921.66 		N:3
Berry          		Mean: 82.65 		Best: 920.56 		N:11
Kotterna       		Mean: 50.52 		Best: 919.89 		N:18
Burke          		Mean: 70.01 		Best: 911.26 		N:13
Lee            		Mean: 50.53 		Best: 910.55 		N:18
Collazo        		Mean: 100.9 		Best: 908.82 		N:9
Wegner         		Mean: 69.95 		Best: 908.4 		N:13
Oldham         		Mean: 227.6 		Best: 907.56 		N:4
Jones          		Mean: 130.5 		Best: 912.22 		N:7
Morris         		Mean: 151.23 		Best: 906.51 		N:6
Harris         		Mean: 182.12 		Best: 909.96 		N:5
Nance          		Mean: 151.7 		Best: 904.69 		N:6
Aguilar        		Mean: 90.51 		Best: 897.87 		N:10
Andrews        		Mean: 113.2 		Best: 896.73 		N:8

########## REPORT GEN: 17 ##########
SPECIES: 
Harris         		Mean: 101.98 		Best: 925.88 		N:9
Lee            		Mean: 82.44 		Best: 924.58 		N:11
Nance          		Mean: 91.28 		Best: 922.38 		N:10
Aguilar        		Mean: 82.42 		Best: 920.77 		N:11
Andrews        		Mean: 101.18 		Best: 911.79 		N:9
Ferrell        		Mean: 100.85 		Best: 910.56 		N:9
Tuggle         		Mean: 91.08 		Best: 910.36 		N:10
Kotterna       		Mean: 129.45 		Best: 909.93 		N:7
Berry          		Mean: 227.08 		Best: 909.02 		N:4
Jones          		Mean: 113.66 		Best: 908.56 		N:8
Collazo        		Mean: 100.64 		Best: 907.8 		N:9
Burke          		Mean: 101.1 		Best: 907.56 		N:9
Oldham         		Mean: 65.01 		Best: 907.28 		N:14
Wegner         		Mean: 113.24 		Best: 906.37 		N:8
Koehn          		Mean: 82.51 		Best: 909.56 		N:11
Morris         		Mean: 449.15 		Best: 893.68 		N:2

########## REPORT GEN: 18 ##########
SPECIES: 
Oldham         		Mean: 114.02 		Best: 925.97 		N:8
Tuggle         		Mean: 130.36 		Best: 923.1 		N:7
Morris         		Mean: 101.26 		Best: 921.97 		N:9
Berry          		Mean: 60.62 		Best: 921.36 		N:15
Andrews        		Mean: 130.38 		Best: 920.42 		N:7
Lee            		Mean: 101.42 		Best: 919.06 		N:9
Koehn          		Mean: 150.7 		Best: 909.25 		N:6
Kotterna       		Mean: 90.11 		Best: 908.95 		N:10
Ferrell        		Mean: 90.68 		Best: 908.29 		N:10
Nance          		Mean: 129.53 		Best: 907.4 		N:7
Aguilar        		Mean: 100.48 		Best: 906.64 		N:9
Jones          		Mean: 100.59 		Best: 904.92 		N:9
Wegner         		Mean: 112.92 		Best: 904.76 		N:8
Collazo        		Mean: 113.21 		Best: 904.24 		N:8
Harris         		Mean: 82.11 		Best: 898.43 		N:11
Burke          		Mean: 150.31 		Best: 896.98 		N:6

########## REPORT GEN: 19 ##########
SPECIES: 
Wegner         		Mean: 64.89 		Best: 930.96 		N:14
Burke          		Mean: 113.65 		Best: 930.13 		N:8
Berry          		Mean: 101.43 		Best: 925.59 		N:9
Nance          		Mean: 100.8 		Best: 925.08 		N:9
Andrews        		Mean: 65.0 		Best: 925.03 		N:14
Koehn          		Mean: 64.82 		Best: 923.06 		N:14
Ferrell        		Mean: 101.03 		Best: 913.09 		N:9
Collazo        		Mean: 69.91 		Best: 910.52 		N:13
Aguilar        		Mean: 227.7 		Best: 908.22 		N:4
Jones          		Mean: 64.95 		Best: 911.36 		N:14
Harris         		Mean: 82.19 		Best: 907.02 		N:11
Kotterna       		Mean: 53.21 		Best: 908.85 		N:17
Lee            		Mean: 75.17 		Best: 907.4 		N:12
Oldham         		Mean: 60.11 		Best: 905.53 		N:15
Tuggle         		Mean: 81.93 		Best: 901.77 		N:11
Morris         		Mean: 112.77 		Best: 899.16 		N:8

########## REPORT GEN: 20 ##########
SPECIES: 
Koehn          		Mean: 82.86 		Best: 932.29 		N:11
Tuggle         		Mean: 90.57 		Best: 929.03 		N:10
Collazo        		Mean: 69.93 		Best: 924.71 		N:13
Morris         		Mean: 82.37 		Best: 924.36 		N:11
Lee            		Mean: 75.24 		Best: 924.29 		N:12
Kotterna       		Mean: 60.45 		Best: 921.46 		N:15
Harris         		Mean: 90.27 		Best: 921.14 		N:10
Ferrell        		Mean: 129.97 		Best: 920.23 		N:7
Andrews        		Mean: 113.18 		Best: 913.39 		N:8
Jones          		Mean: 75.4 		Best: 911.97 		N:12
Nance          		Mean: 81.97 		Best: 909.73 		N:11
Aguilar        		Mean: 75.46 		Best: 906.91 		N:12
Oldham         		Mean: 63.57 		Best: 904.11 		N:14
Berry          		Mean: 75.27 		Best: 904.59 		N:12
Wegner         		Mean: 128.98 		Best: 900.47 		N:7
Burke          		Mean: 99.4 		Best: 893.79 		N:9

########## REPORT GEN: 21 ##########
SPECIES: 
Koehn          		Mean: 64.46 		Best: 928.78 		N:14
Ferrell        		Mean: 64.7 		Best: 927.71 		N:14
Aguilar        		Mean: 60.23 		Best: 927.18 		N:15
