########## REPORT GEN: 2 ##########
SPECIES: 
Sullivan       		Mean: 468.0 		Best: 923.28 		N:2

########## REPORT GEN: 13 ##########
SPECIES: 
Brown          		Mean: 477.06 		Best: 952.7 		N:2
House          		Mean: 138.49 		Best: 952.7 		N:7
Bradley        		Mean: 237.02 		Best: 952.59 		N:4
Chavis         		Mean: 236.8 		Best: 945.92 		N:4
Oneal          		Mean: 474.83 		Best: 945.92 		N:2
Guerrero       		Mean: 105.77 		Best: 945.92 		N:9
Fennimore      		Mean: 471.15 		Best: 944.31 		N:2
Deloy          		Mean: 472.72 		Best: 927.65 		N:2
Elson          		Mean: 471.52 		Best: 927.65 		N:2
Reid           		Mean: 316.73 		Best: 927.65 		N:3
Demond         		Mean: 104.24 		Best: 927.65 		N:9
Burnham        		Mean: 312.38 		Best: 924.92 		N:3
Hao            		Mean: 466.05 		Best: 923.75 		N:2
Bruner         		Mean: 472.48 		Best: 923.54 		N:2
Sullivan       		Mean: 236.86 		Best: 927.65 		N:4

########## REPORT GEN: 14 ##########
SPECIES: 
Burnham        		Mean: 190.67 		Best: 952.76 		N:5
Deloy          		Mean: 137.47 		Best: 952.7 		N:7
Hao            		Mean: 239.38 		Best: 952.7 		N:4
House          		Mean: 120.2 		Best: 952.59 		N:8
Fennimore      		Mean: 475.28 		Best: 945.92 		N:2
Bruner         		Mean: 318.78 		Best: 945.92 		N:3
Sullivan       		Mean: 190.75 		Best: 945.92 		N:5
Reid           		Mean: 318.0 		Best: 944.31 		N:3
Wright         		Mean: 317.13 		Best: 933.44 		N:3
Oneal          		Mean: 312.38 		Best: 928.33 		N:3
Bradley        		Mean: 235.56 		Best: 927.65 		N:4
Chavis         		Mean: 471.9 		Best: 923.55 		N:2
Lastrapes      		Mean: 464.94 		Best: 923.52 		N:2
Brown          		Mean: 187.48 		Best: 927.65 		N:5
Elson          		Mean: 235.41 		Best: 924.92 		N:4

########## REPORT GEN: 15 ##########
SPECIES: 
Lastrapes      		Mean: 119.9 		Best: 952.76 		N:8
Brown          		Mean: 118.5 		Best: 952.7 		N:8
House          		Mean: 136.11 		Best: 945.92 		N:7
Oneal          		Mean: 238.73 		Best: 945.92 		N:4
Guerrero       		Mean: 159.76 		Best: 952.7 		N:6
Burnham        		Mean: 316.4 		Best: 944.31 		N:3
Bradley        		Mean: 188.64 		Best: 932.12 		N:5
Hao            		Mean: 471.66 		Best: 928.33 		N:2
Sullivan       		Mean: 237.05 		Best: 933.88 		N:4
Chavis         		Mean: 314.18 		Best: 927.65 		N:3
Elson          		Mean: 311.69 		Best: 927.65 		N:3
Reid           		Mean: 467.33 		Best: 923.55 		N:2
Deloy          		Mean: 235.61 		Best: 924.92 		N:4
Bruner         		Mean: 308.48 		Best: 923.54 		N:3
Demond         		Mean: 464.5 		Best: 923.52 		N:2

########## REPORT GEN: 16 ##########
SPECIES: 
Wright         		Mean: 239.71 		Best: 952.76 		N:4
Bruner         		Mean: 190.04 		Best: 952.76 		N:5
Oneal          		Mean: 190.74 		Best: 945.92 		N:5
Guerrero       		Mean: 239.69 		Best: 945.92 		N:4
Elson          		Mean: 312.75 		Best: 945.92 		N:3
Fennimore      		Mean: 190.33 		Best: 945.92 		N:5
Hao            		Mean: 240.22 		Best: 945.92 		N:4
Sullivan       		Mean: 237.92 		Best: 944.31 		N:4
Deloy          		Mean: 477.18 		Best: 944.31 		N:2
Lastrapes      		Mean: 315.39 		Best: 932.12 		N:3
Reid           		Mean: 157.14 		Best: 928.33 		N:6
Burnham        		Mean: 185.09 		Best: 927.65 		N:5
Bradley        		Mean: 464.95 		Best: 923.54 		N:2
Chavis         		Mean: 313.91 		Best: 923.54 		N:3
House          		Mean: 187.54 		Best: 923.52 		N:5
Demond         		Mean: 229.81 		Best: 923.52 		N:4

########## REPORT GEN: 17 ##########
SPECIES: 
Reid           		Mean: 86.61 		Best: 952.76 		N:11
Demond         		Mean: 119.31 		Best: 952.76 		N:8
Wright         		Mean: 239.11 		Best: 952.7 		N:4
Bruner         		Mean: 477.36 		Best: 945.92 		N:2
Sullivan       		Mean: 315.03 		Best: 945.92 		N:3
Lastrapes      		Mean: 477.72 		Best: 945.92 		N:2
Deloy          		Mean: 135.66 		Best: 945.92 		N:7
