########## REPORT GEN: 2 ##########
SPECIES: 
Taylor         		Mean: 304.9 		Best: 905.65 		N:3

########## REPORT GEN: 12 ##########
SPECIES: 
Nelson         		Mean: 185.6 		Best: 909.33 		N:5
Cho            		Mean: 102.86 		Best: 909.33 		N:9
Preslipsky     		Mean: 154.52 		Best: 909.33 		N:6
Taylor         		Mean: 231.69 		Best: 906.41 		N:4
Casper         		Mean: 154.2 		Best: 905.99 		N:6
Lantrip        		Mean: 132.03 		Best: 905.99 		N:7
Mercer         		Mean: 459.4 		Best: 905.89 		N:2
Dubard         		Mean: 460.04 		Best: 905.65 		N:2
Cureton        		Mean: 115.74 		Best: 909.33 		N:8
Blanchard      		Mean: 230.86 		Best: 905.65 		N:4
Cooke          		Mean: 231.0 		Best: 906.29 		N:4
Juel           		Mean: 231.3 		Best: 905.65 		N:4
Grimes         		Mean: 458.37 		Best: 905.11 		N:2

########## REPORT GEN: 13 ##########
SPECIES: 
Preslipsky     		Mean: 115.75 		Best: 909.33 		N:8
Cureton        		Mean: 92.67 		Best: 909.33 		N:10
Dubard         		Mean: 132.44 		Best: 906.29 		N:7
Cho            		Mean: 459.35 		Best: 905.89 		N:2
Blanchard      		Mean: 229.23 		Best: 905.65 		N:4
Cooke          		Mean: 182.83 		Best: 905.25 		N:5
Juel           		Mean: 131.66 		Best: 906.24 		N:7
Nelson         		Mean: 230.99 		Best: 905.25 		N:4
Mercer         		Mean: 306.92 		Best: 905.12 		N:3
Lantrip        		Mean: 450.91 		Best: 901.83 		N:2
Bailey         		Mean: 450.91 		Best: 901.83 		N:2

########## REPORT GEN: 14 ##########
SPECIES: 
Taylor         		Mean: 307.07 		Best: 909.33 		N:3
Lantrip        		Mean: 230.4 		Best: 909.33 		N:4
Cureton        		Mean: 458.11 		Best: 906.61 		N:2
Casper         		Mean: 305.75 		Best: 906.61 		N:3
Preslipsky     		Mean: 154.19 		Best: 906.29 		N:6
Mercer         		Mean: 307.23 		Best: 905.99 		N:3
Bailey         		Mean: 153.88 		Best: 905.99 		N:6
Cho            		Mean: 304.65 		Best: 905.25 		N:3
Cooke          		Mean: 184.21 		Best: 905.25 		N:5
Dubard         		Mean: 229.18 		Best: 905.18 		N:4
Blanchard      		Mean: 182.81 		Best: 905.12 		N:5
Nelson         		Mean: 181.7 		Best: 901.83 		N:5

########## REPORT GEN: 15 ##########
SPECIES: 
Blanchard      		Mean: 71.06 		Best: 909.33 		N:13
Mercer         		Mean: 153.19 		Best: 906.61 		N:6
Nelson         		Mean: 230.46 		Best: 906.61 		N:4
Taylor         		Mean: 229.55 		Best: 906.29 		N:4
Casper         		Mean: 459.49 		Best: 905.99 		N:2
Cho            		Mean: 115.33 		Best: 905.99 		N:8
Lantrip        		Mean: 456.92 		Best: 905.25 		N:2
Preslipsky     		Mean: 229.23 		Best: 905.25 		N:4
Dubard         		Mean: 183.95 		Best: 905.89 		N:5
Cooke          		Mean: 228.49 		Best: 903.61 		N:4
Juel           		Mean: 302.89 		Best: 901.83 		N:3
Bailey         		Mean: 456.47 		Best: 901.47 		N:2

########## REPORT GEN: 16 ##########
SPECIES: 
Cho            		Mean: 305.31 		Best: 909.33 		N:3
Cureton        		Mean: 152.77 		Best: 906.61 		N:6
Preslipsky     		Mean: 306.71 		Best: 906.61 		N:3
Dubard         		Mean: 114.64 		Best: 906.29 		N:8
Taylor         		Mean: 152.64 		Best: 905.99 		N:6
Lantrip        		Mean: 115.05 		Best: 905.99 		N:8
Juel           		Mean: 229.83 		Best: 905.82 		N:4
Mercer         		Mean: 229.75 		Best: 905.99 		N:4
Cooke          		Mean: 304.5 		Best: 905.25 		N:3
Casper         		Mean: 305.21 		Best: 906.61 		N:3
Bailey         		Mean: 302.84 		Best: 901.83 		N:3
Nelson         		Mean: 228.48 		Best: 901.83 		N:4
Blanchard      		Mean: 452.76 		Best: 901.3 		N:2

########## REPORT GEN: 17 ##########
SPECIES: 
Dubard         		Mean: 83.82 		Best: 909.49 		N:11
Cureton        		Mean: 152.81 		Best: 909.33 		N:6
