########## REPORT GEN: 2 ##########
SPECIES: 
Negron         		Mean: 153.11 		Best: 456.32 		N:3
Brown          		Mean: 76.71 		Best: 443.36 		N:6
Wilkes         		Mean: 226.89 		Best: 442.47 		N:2

########## REPORT GEN: 25 ##########
SPECIES: 
Flores         		Mean: 112.86 		Best: 655.97 		N:5
Kitchel        		Mean: 152.6 		Best: 655.97 		N:4
Day            		Mean: 112.6 		Best: 655.97 		N:5
Wilkes         		Mean: 45.58 		Best: 655.97 		N:11
Grigsby        		Mean: 84.55 		Best: 654.11 		N:6
Cole           		Mean: 83.11 		Best: 653.98 		N:6
Williams       		Mean: 100.27 		Best: 653.98 		N:5
Mcelreavy      		Mean: 54.29 		Best: 561.98 		N:9
Johnson        		Mean: 52.78 		Best: 541.77 		N:9
Warner         		Mean: 58.76 		Best: 530.44 		N:8
Alvarez        		Mean: 265.61 		Best: 530.44 		N:2
Brown          		Mean: 120.38 		Best: 503.89 		N:4
Cruz           		Mean: 52.49 		Best: 497.65 		N:9
Longie         		Mean: 225.18 		Best: 476.41 		N:2
Evans          		Mean: 153.56 		Best: 465.79 		N:3
Negron         		Mean: 228.76 		Best: 456.32 		N:2
Walker         		Mean: 40.95 		Best: 452.13 		N:11

########## REPORT GEN: 26 ##########
SPECIES: 
Flores         		Mean: 100.96 		Best: 655.97 		N:6
Cole           		Mean: 72.83 		Best: 655.97 		N:7
Evans          		Mean: 64.95 		Best: 655.97 		N:8
Walker         		Mean: 34.46 		Best: 655.97 		N:16
Grigsby        		Mean: 75.9 		Best: 654.11 		N:7
Longie         		Mean: 71.86 		Best: 653.98 		N:7
Kitchel        		Mean: 177.49 		Best: 543.8 		N:3
Warner         		Mean: 93.93 		Best: 530.44 		N:5
Alvarez        		Mean: 245.13 		Best: 530.44 		N:2
Williams       		Mean: 67.57 		Best: 495.29 		N:7
Acevedo        		Mean: 78.01 		Best: 477.88 		N:6
Johnson        		Mean: 236.02 		Best: 477.47 		N:2
Cruz           		Mean: 116.37 		Best: 456.32 		N:4
Negron         		Mean: 116.03 		Best: 456.32 		N:4

########## REPORT GEN: 27 ##########
SPECIES: 
Flores         		Mean: 58.55 		Best: 655.97 		N:10
Kitchel        		Mean: 63.16 		Best: 655.97 		N:8
Williams       		Mean: 64.5 		Best: 655.97 		N:8
Longie         		Mean: 80.91 		Best: 654.11 		N:6
Grigsby        		Mean: 98.94 		Best: 655.97 		N:6
Brown          		Mean: 127.32 		Best: 630.89 		N:4
Mcelreavy      		Mean: 255.41 		Best: 561.98 		N:2
Acevedo        		Mean: 101.33 		Best: 561.98 		N:5
Alvarez        		Mean: 166.23 		Best: 530.44 		N:3
Warner         		Mean: 160.11 		Best: 477.88 		N:3
Walker         		Mean: 91.41 		Best: 468.61 		N:5
Cole           		Mean: 115.9 		Best: 456.32 		N:4
Evans          		Mean: 155.43 		Best: 456.32 		N:3
Cruz           		Mean: 147.9 		Best: 442.47 		N:3

########## REPORT GEN: 28 ##########
SPECIES: 
Flores         		Mean: 62.51 		Best: 669.17 		N:10
Kitchel        		Mean: 100.92 		Best: 654.11 		N:5
Grigsby        		Mean: 81.27 		Best: 653.98 		N:6
Walker         		Mean: 134.06 		Best: 653.98 		N:4
Longie         		Mean: 62.23 		Best: 630.89 		N:8
Mcelreavy      		Mean: 120.04 		Best: 561.98 		N:4
Brown          		Mean: 92.87 		Best: 530.44 		N:5
Alvarez        		Mean: 88.89 		Best: 530.44 		N:6
Warner         		Mean: 155.35 		Best: 477.47 		N:3
Cole           		Mean: 154.6 		Best: 456.32 		N:3
Evans          		Mean: 114.37 		Best: 456.32 		N:4
Cruz           		Mean: 45.42 		Best: 443.36 		N:10
Williams       		Mean: 222.93 		Best: 442.47 		N:2
Negron         		Mean: 75.99 		Best: 442.74 		N:6

########## REPORT GEN: 29 ##########
SPECIES: 
Flores         		Mean: 106.03 		Best: 669.17 		N:6
Jobst          		Mean: 217.09 		Best: 659.88 		N:3
Longie         		Mean: 132.57 		Best: 654.11 		N:4
Williams       		Mean: 80.18 		Best: 654.11 		N:6
Brown          		Mean: 87.01 		Best: 653.98 		N:6
Mcelreavy      		Mean: 85.81 		Best: 561.98 		N:6
Acevedo        		Mean: 257.43 		Best: 561.98 		N:2
