########## REPORT GEN: 2 ##########
SPECIES: 
Rodriguez      		Mean: 59.73 		Best: 905.1 		N:15
Cloutier       		Mean: 74.47 		Best: 905.1 		N:12
Spence         		Mean: 81.68 		Best: 906.75 		N:11
Wininger       		Mean: 81.35 		Best: 901.82 		N:11

########## REPORT GEN: 18 ##########
SPECIES: 
Curb           		Mean: 81.22 		Best: 907.06 		N:11
Cloutier       		Mean: 50.06 		Best: 906.89 		N:18
Labrum         		Mean: 89.82 		Best: 906.75 		N:10
Alfaro         		Mean: 99.98 		Best: 906.71 		N:9
Griffin        		Mean: 49.86 		Best: 906.71 		N:18
Shaw           		Mean: 59.99 		Best: 906.68 		N:15
Rodriguez      		Mean: 64.1 		Best: 906.68 		N:14
Hill           		Mean: 75.05 		Best: 905.76 		N:12
Wininger       		Mean: 99.94 		Best: 905.7 		N:9
Stahlberg      		Mean: 112.97 		Best: 907.4 		N:8
Doyle          		Mean: 68.68 		Best: 905.1 		N:13
Spence         		Mean: 89.82 		Best: 905.1 		N:10

########## REPORT GEN: 19 ##########
SPECIES: 
Stahlberg      		Mean: 89.57 		Best: 910.15 		N:10
Curb           		Mean: 81.92 		Best: 906.89 		N:11
Alfaro         		Mean: 68.9 		Best: 906.71 		N:13
Doyle          		Mean: 52.7 		Best: 906.71 		N:17
Spence         		Mean: 74.54 		Best: 906.68 		N:12
Labrum         		Mean: 81.95 		Best: 906.84 		N:11
Griffin        		Mean: 68.84 		Best: 906.51 		N:13
Hill           		Mean: 69.57 		Best: 906.75 		N:13
Cloutier       		Mean: 75.33 		Best: 906.7 		N:12
Shaw           		Mean: 60.13 		Best: 907.06 		N:15
Rodriguez      		Mean: 100.66 		Best: 906.71 		N:9
Wininger       		Mean: 99.44 		Best: 902.66 		N:9

########## REPORT GEN: 20 ##########
SPECIES: 
Labrum         		Mean: 52.79 		Best: 907.64 		N:17
Stahlberg      		Mean: 75.16 		Best: 906.91 		N:12
Hill           		Mean: 64.47 		Best: 906.71 		N:14
Griffin        		Mean: 89.56 		Best: 906.64 		N:10
Spence         		Mean: 223.37 		Best: 905.76 		N:4
Curb           		Mean: 52.94 		Best: 910.15 		N:17
Doyle          		Mean: 100.6 		Best: 906.64 		N:9
Shaw           		Mean: 59.98 		Best: 910.15 		N:15
