########## REPORT GEN: 2 ##########
SPECIES: 
Horton         		Mean: 153.81 		Best: 924.3 		N:6
Frazier        		Mean: 307.12 		Best: 924.3 		N:3
Bartsch        		Mean: 456.37 		Best: 903.21 		N:2
Myers          		Mean: 182.27 		Best: 902.76 		N:5
Moody          		Mean: 228.17 		Best: 901.64 		N:4
Davis          		Mean: 228.53 		Best: 901.37 		N:4
Labossiere     		Mean: 152.7 		Best: 900.69 		N:6
Goto           		Mean: 229.75 		Best: 900.67 		N:4
Swiger         		Mean: 152.2 		Best: 900.64 		N:6
Schaffner      		Mean: 152.61 		Best: 900.61 		N:6
Curl           		Mean: 456.19 		Best: 900.61 		N:2
Daughtry       		Mean: 303.82 		Best: 902.77 		N:3
Robinson       		Mean: 152.44 		Best: 900.61 		N:6

########## REPORT GEN: 13 ##########
SPECIES: 
Goto           		Mean: 183.77 		Best: 924.3 		N:5
Daughtry       		Mean: 132.05 		Best: 924.3 		N:7
Robinson       		Mean: 114.99 		Best: 924.3 		N:8
Shanklin       		Mean: 229.7 		Best: 907.82 		N:4
Moody          		Mean: 305.69 		Best: 902.77 		N:3
Myers          		Mean: 229.43 		Best: 902.76 		N:4
Labossiere     		Mean: 304.36 		Best: 900.69 		N:3
Swiger         		Mean: 304.89 		Best: 903.21 		N:3
Bartsch        		Mean: 456.36 		Best: 900.67 		N:2
Frazier        		Mean: 183.07 		Best: 900.62 		N:5
Horton         		Mean: 152.12 		Best: 900.6 		N:6
Curl           		Mean: 453.28 		Best: 900.53 		N:2

########## REPORT GEN: 14 ##########
SPECIES: 
Myers          		Mean: 229.24 		Best: 924.3 		N:4
Frazier        		Mean: 153.45 		Best: 924.3 		N:6
Schaffner      		Mean: 184.0 		Best: 924.3 		N:5
Bartsch        		Mean: 230.51 		Best: 918.8 		N:4
Moody          		Mean: 303.38 		Best: 908.03 		N:3
Horton         		Mean: 130.76 		Best: 907.82 		N:7
Robinson       		Mean: 227.05 		Best: 902.77 		N:4
Goto           		Mean: 228.9 		Best: 901.64 		N:4
Dunaway        		Mean: 228.46 		Best: 901.64 		N:4
Curl           		Mean: 303.03 		Best: 900.9 		N:3
Swiger         		Mean: 455.04 		Best: 900.71 		N:2
Daughtry       		Mean: 227.79 		Best: 900.69 		N:4
Shanklin       		Mean: 182.11 		Best: 900.67 		N:5

########## REPORT GEN: 15 ##########
SPECIES: 
Frazier        		Mean: 307.92 		Best: 924.3 		N:3
Bartsch        		Mean: 115.3 		Best: 924.3 		N:8
Labossiere     		Mean: 152.41 		Best: 924.3 		N:6
Daughtry       		Mean: 130.73 		Best: 908.03 		N:7
Curl           		Mean: 305.5 		Best: 907.82 		N:3
Shanklin       		Mean: 229.04 		Best: 904.83 		N:4
Moody          		Mean: 454.72 		Best: 902.76 		N:2
