########## REPORT GEN: 2 ##########
SPECIES: 
Wells          		Mean: 70.53 		Best: 1118.39 		N:10
Gallo          		Mean: 134.05 		Best: 1115.71 		N:6
Smith          		Mean: 52.3 		Best: 1111.7 		N:13
Brown          		Mean: 147.0 		Best: 1111.38 		N:5
Rincon         		Mean: 70.42 		Best: 1075.4 		N:9
Jones          		Mean: 78.45 		Best: 999.02 		N:8
Jessup         		Mean: 102.37 		Best: 917.64 		N:6
George         		Mean: 64.88 		Best: 843.36 		N:10
Burmeister     		Mean: 78.96 		Best: 819.08 		N:8
Manuel         		Mean: 120.37 		Best: 773.85 		N:5
Strawn         		Mean: 69.89 		Best: 763.91 		N:9
Thompson       		Mean: 113.91 		Best: 750.19 		N:5
Valliere       		Mean: 362.09 		Best: 738.93 		N:2
Rockwell       		Mean: 133.64 		Best: 730.89 		N:5
Korando        		Mean: 160.26 		Best: 657.58 		N:3
Williams       		Mean: 78.65 		Best: 628.11 		N:6
Bradley        		Mean: 87.67 		Best: 572.64 		N:5

########## REPORT GEN: 17 ##########
SPECIES: 
Williams       		Mean: 65.26 		Best: 1120.97 		N:10
Gallo          		Mean: 59.04 		Best: 1120.09 		N:9
Smith          		Mean: 152.22 		Best: 1111.69 		N:5
Jones          		Mean: 55.55 		Best: 1109.82 		N:12
Jessup         		Mean: 75.83 		Best: 1106.25 		N:9
Korando        		Mean: 78.51 		Best: 1095.31 		N:8
Strawn         		Mean: 139.85 		Best: 1075.48 		N:5
Miller         		Mean: 131.25 		Best: 995.54 		N:5
Valliere       		Mean: 74.3 		Best: 916.24 		N:8
George         		Mean: 164.22 		Best: 849.24 		N:4
Thompson       		Mean: 74.91 		Best: 818.89 		N:8
Burmeister     		Mean: 73.86 		Best: 817.19 		N:7
Rincon         		Mean: 196.21 		Best: 776.09 		N:3
Wells          		Mean: 175.45 		Best: 750.94 		N:4
Manuel         		Mean: 119.27 		Best: 739.87 		N:4
Bradley        		Mean: 324.92 		Best: 689.95 		N:2
Rockwell       		Mean: 90.38 		Best: 651.25 		N:5
Brown          		Mean: 59.39 		Best: 627.97 		N:8

########## REPORT GEN: 18 ##########
SPECIES: 
Jessup         		Mean: 114.95 		Best: 1147.19 		N:7
Williams       		Mean: 76.41 		Best: 1116.1 		N:8
Burmeister     		Mean: 78.5 		Best: 1116.05 		N:8
Valliere       		Mean: 95.62 		Best: 1114.07 		N:7
Brown          		Mean: 102.46 		Best: 1113.45 		N:6
Smith          		Mean: 87.24 		Best: 1109.64 		N:7
Strawn         		Mean: 105.91 		Best: 1101.7 		N:7
Thompson       		Mean: 101.27 		Best: 996.87 		N:6
Manuel         		Mean: 83.9 		Best: 898.49 		N:7
Bradley        		Mean: 148.82 		Best: 818.53 		N:4
George         		Mean: 295.04 		Best: 773.45 		N:2
Miller         		Mean: 326.25 		Best: 762.89 		N:2
Rincon         		Mean: 77.03 		Best: 743.48 		N:8
Jones          		Mean: 60.24 		Best: 739.2 		N:9
Rockwell       		Mean: 56.13 		Best: 720.58 		N:9
Gallo          		Mean: 97.67 		Best: 689.88 		N:6
Wells          		Mean: 70.89 		Best: 627.35 		N:6
Korando        		Mean: 124.87 		Best: 591.41 		N:4

########## REPORT GEN: 19 ##########
SPECIES: 
Wells          		Mean: 101.39 		Best: 1126.72 		N:7
Smith          		Mean: 95.59 		Best: 1116.78 		N:6
Korando        		Mean: 112.16 		Best: 1116.34 		N:6
Williams       		Mean: 104.48 		Best: 1116.31 		N:8
Jessup         		Mean: 167.6 		Best: 1113.45 		N:4
Strawn         		Mean: 185.43 		Best: 1105.89 		N:4
Rockwell       		Mean: 199.92 		Best: 1080.24 		N:4
Brown          		Mean: 59.57 		Best: 819.8 		N:10
