########## REPORT GEN: 2 ##########
SPECIES: 
Walker         		Mean: 304.99 		Best: 900.38 		N:3
Garza          		Mean: 183.2 		Best: 900.61 		N:5

########## REPORT GEN: 14 ##########
SPECIES: 
Whittingham    		Mean: 306.15 		Best: 908.17 		N:3
Duncan         		Mean: 183.38 		Best: 908.17 		N:5
Wyatt          		Mean: 131.07 		Best: 908.17 		N:7
Freeney        		Mean: 102.11 		Best: 908.17 		N:9
Garza          		Mean: 153.05 		Best: 908.17 		N:6
Necaise        		Mean: 457.5 		Best: 901.56 		N:2
Eddings        		Mean: 101.96 		Best: 900.46 		N:9
Reid           		Mean: 114.58 		Best: 901.07 		N:8
Ernest         		Mean: 452.65 		Best: 900.38 		N:2
Smith          		Mean: 182.82 		Best: 901.13 		N:5
Walker         		Mean: 183.67 		Best: 900.67 		N:5

########## REPORT GEN: 15 ##########
SPECIES: 
Garza          		Mean: 459.26 		Best: 908.17 		N:2
Eddings        		Mean: 152.92 		Best: 908.17 		N:6
Maciel         		Mean: 184.09 		Best: 908.17 		N:5
Smith          		Mean: 153.48 		Best: 908.17 		N:6
Whittingham    		Mean: 114.6 		Best: 901.56 		N:8
Duncan         		Mean: 456.25 		Best: 900.42 		N:2
Wyatt          		Mean: 183.72 		Best: 900.61 		N:5
Reid           		Mean: 455.46 		Best: 900.42 		N:2
Freeney        		Mean: 305.12 		Best: 900.74 		N:3
Ernest         		Mean: 152.32 		Best: 900.54 		N:6
Walker         		Mean: 456.02 		Best: 900.23 		N:2
Necaise        		Mean: 228.35 		Best: 900.38 		N:4

########## REPORT GEN: 16 ##########
SPECIES: 
Eddings        		Mean: 229.52 		Best: 908.17 		N:4
Maciel         		Mean: 114.66 		Best: 908.17 		N:8
Smith          		Mean: 306.27 		Best: 908.17 		N:3
Reid           		Mean: 131.14 		Best: 908.17 		N:7
Freeney        		Mean: 183.65 		Best: 908.17 		N:5
Wyatt          		Mean: 229.0 		Best: 901.56 		N:4
Garza          		Mean: 456.15 		Best: 900.42 		N:2
Duncan         		Mean: 114.46 		Best: 900.61 		N:8
Ernest         		Mean: 228.44 		Best: 900.42 		N:4
Whittingham    		Mean: 228.78 		Best: 900.42 		N:4
Necaise        		Mean: 228.63 		Best: 900.39 		N:4
Walker         		Mean: 303.89 		Best: 900.79 		N:3

########## REPORT GEN: 17 ##########
SPECIES: 
Reid           		Mean: 91.79 		Best: 909.11 		N:10
Eddings        		Mean: 181.68 		Best: 908.17 		N:5
Smith          		Mean: 61.2 		Best: 908.17 		N:15
Duncan         		Mean: 130.93 		Best: 908.17 		N:7
Ernest         		Mean: 183.22 		Best: 908.17 		N:5
Whittingham    		Mean: 102.01 		Best: 908.17 		N:9
Necaise        		Mean: 152.52 		Best: 901.56 		N:6
Walker         		Mean: 455.69 		Best: 900.42 		N:2
Garza          		Mean: 304.96 		Best: 900.39 		N:3
Freeney        		Mean: 303.92 		Best: 900.31 		N:3
Maciel         		Mean: 114.38 		Best: 900.46 		N:8

########## REPORT GEN: 18 ##########
SPECIES: 
Duncan         		Mean: 130.97 		Best: 909.11 		N:7
Reid           		Mean: 183.61 		Best: 908.17 		N:5
Whittingham    		Mean: 152.08 		Best: 908.17 		N:6
Walker         		Mean: 152.48 		Best: 908.17 		N:6
Wyatt          		Mean: 229.6 		Best: 908.17 		N:4
Maciel         		Mean: 304.17 		Best: 908.17 		N:3
Smith          		Mean: 228.85 		Best: 900.42 		N:4
Necaise        		Mean: 300.94 		Best: 900.37 		N:3
Freeney        		Mean: 130.29 		Best: 900.37 		N:7
Garza          		Mean: 453.45 		Best: 900.22 		N:2
Eddings        		Mean: 180.23 		Best: 900.17 		N:5
Ernest         		Mean: 128.83 		Best: 900.17 		N:7

########## REPORT GEN: 19 ##########
SPECIES: 
Whittingham    		Mean: 229.15 		Best: 908.17 		N:4
Walker         		Mean: 228.69 		Best: 908.17 		N:4
Wyatt          		Mean: 153.03 		Best: 908.17 		N:6
Maciel         		Mean: 114.55 		Best: 909.11 		N:8
Smith          		Mean: 130.9 		Best: 908.17 		N:7
Freeney        		Mean: 151.36 		Best: 908.17 		N:6
Ernest         		Mean: 91.61 		Best: 908.17 		N:10
Garza          		Mean: 455.13 		Best: 900.82 		N:2
Duncan         		Mean: 181.57 		Best: 900.37 		N:5
Necaise        		Mean: 114.02 		Best: 900.31 		N:8
Eddings        		Mean: 151.76 		Best: 900.28 		N:6
Reid           		Mean: 227.8 		Best: 900.53 		N:4

########## REPORT GEN: 20 ##########
SPECIES: 
Ernest         		Mean: 131.12 		Best: 927.88 		N:7
Wyatt          		Mean: 130.88 		Best: 909.11 		N:7
Whittingham    		Mean: 228.64 		Best: 908.17 		N:4
Maciel         		Mean: 101.71 		Best: 908.17 		N:9
Smith          		Mean: 458.09 		Best: 908.17 		N:2
Garza          		Mean: 130.76 		Best: 908.17 		N:7
Necaise        		Mean: 101.59 		Best: 908.17 		N:9
Reid           		Mean: 83.07 		Best: 908.17 		N:11
Eddings        		Mean: 182.2 		Best: 901.13 		N:5
Duncan         		Mean: 227.67 		Best: 900.73 		N:4
Walker         		Mean: 129.07 		Best: 900.76 		N:7
Freeney        		Mean: 182.35 		Best: 900.42 		N:5

########## REPORT GEN: 21 ##########
SPECIES: 
Eddings        		Mean: 231.3 		Best: 934.4 		N:4
Necaise        		Mean: 227.74 		Best: 909.11 		N:4
Reid           		Mean: 152.41 		Best: 909.11 		N:6
Ernest         		Mean: 304.34 		Best: 908.17 		N:3
Whittingham    		Mean: 181.5 		Best: 908.17 		N:5
