########## REPORT GEN: 2 ##########
SPECIES: 
Bell           		Mean: 114.78 		Best: 909.33 		N:8
Hess           		Mean: 305.33 		Best: 906.61 		N:3
Chang          		Mean: 229.55 		Best: 905.65 		N:4
Maisonet       		Mean: 306.44 		Best: 905.65 		N:3
Rehkop         		Mean: 113.86 		Best: 901.2 		N:8
Livezey        		Mean: 152.27 		Best: 901.2 		N:6
Ross           		Mean: 301.78 		Best: 900.88 		N:3
Saavedra       		Mean: 302.48 		Best: 900.86 		N:3
Felipe         		Mean: 304.03 		Best: 901.2 		N:3

########## REPORT GEN: 16 ##########
SPECIES: 
Berrios        		Mean: 230.14 		Best: 915.87 		N:4
Hess           		Mean: 114.83 		Best: 915.87 		N:8
Heminger       		Mean: 114.62 		Best: 909.33 		N:8
Maisonet       		Mean: 152.12 		Best: 909.33 		N:6
Bell           		Mean: 130.4 		Best: 907.02 		N:7
Chang          		Mean: 304.62 		Best: 906.61 		N:3
Saavedra       		Mean: 131.09 		Best: 906.61 		N:7
Livezey        		Mean: 130.82 		Best: 905.83 		N:7
Rehkop         		Mean: 130.37 		Best: 905.65 		N:7
Felipe         		Mean: 152.83 		Best: 905.65 		N:6
Roach          		Mean: 152.21 		Best: 901.2 		N:6
Cassidy        		Mean: 302.46 		Best: 900.94 		N:3
Ross           		Mean: 180.47 		Best: 900.84 		N:5

########## REPORT GEN: 17 ##########
SPECIES: 
Heminger       		Mean: 183.63 		Best: 915.87 		N:5
Cassidy        		Mean: 228.63 		Best: 915.87 		N:4
Saavedra       		Mean: 305.67 		Best: 910.12 		N:3
Berrios        		Mean: 152.22 		Best: 909.33 		N:6
Chang          		Mean: 152.6 		Best: 909.33 		N:6
Hess           		Mean: 114.45 		Best: 907.02 		N:8
Roach          		Mean: 113.96 		Best: 906.61 		N:8
Rehkop         		Mean: 131.22 		Best: 905.83 		N:7
Felipe         		Mean: 456.06 		Best: 901.12 		N:2
Maisonet       		Mean: 302.06 		Best: 901.08 		N:3
White          		Mean: 226.17 		Best: 900.86 		N:4
Bell           		Mean: 302.3 		Best: 900.88 		N:3
Livezey        		Mean: 302.2 		Best: 900.92 		N:3
Ross           		Mean: 452.82 		Best: 900.84 		N:2

########## REPORT GEN: 18 ##########
SPECIES: 
Heminger       		Mean: 91.75 		Best: 915.87 		N:10
Cassidy        		Mean: 229.91 		Best: 915.87 		N:4
Saavedra       		Mean: 153.17 		Best: 910.12 		N:6
Ross           		Mean: 131.39 		Best: 910.12 		N:7
Felipe         		Mean: 113.88 		Best: 907.02 		N:8
Chang          		Mean: 182.41 		Best: 906.61 		N:5
Rehkop         		Mean: 129.99 		Best: 905.65 		N:7
Hess           		Mean: 229.1 		Best: 903.9 		N:4
Roach          		Mean: 304.18 		Best: 901.12 		N:3
Livezey        		Mean: 452.44 		Best: 900.88 		N:2
Maisonet       		Mean: 302.6 		Best: 900.86 		N:3
Bell           		Mean: 453.42 		Best: 900.86 		N:2
White          		Mean: 180.6 		Best: 900.85 		N:5
Berrios        		Mean: 452.69 		Best: 900.82 		N:2

########## REPORT GEN: 19 ##########
SPECIES: 
Chang          		Mean: 183.53 		Best: 915.87 		N:5
Roach          		Mean: 458.61 		Best: 915.87 		N:2
Berrios        		Mean: 228.65 		Best: 915.87 		N:4
Heminger       		Mean: 130.74 		Best: 910.33 		N:7
Maisonet       		Mean: 152.91 		Best: 910.33 		N:6
Saavedra       		Mean: 101.26 		Best: 910.12 		N:9
Rehkop         		Mean: 131.1 		Best: 910.12 		N:7
Ross           		Mean: 151.92 		Best: 903.9 		N:6
Livezey        		Mean: 182.45 		Best: 901.12 		N:5
Cassidy        		Mean: 301.74 		Best: 900.94 		N:3
White          		Mean: 302.32 		Best: 900.89 		N:3
Hess           		Mean: 453.01 		Best: 900.86 		N:2
