########## REPORT GEN: 2 ##########
SPECIES: 
Freeland       		Mean: 1.01 		Best: 9.6 		Nº:5
Lenk           		Mean: 0.76 		Best: 9.6 		Nº:9
Jones          		Mean: 2.4  		Best: 9.6 		Nº:2
Lodge          		Mean: 1.07 		Best: 9.6 		Nº:3
Alvarado       		Mean: 2.42 		Best: 9.6 		Nº:2
Gonzales       		Mean: 0.76 		Best: 8.71 		Nº:8
Hadlock        		Mean: 0.97 		Best: 8.71 		Nº:5
Stevens        		Mean: 0.55 		Best: 8.71 		Nº:4
Houston        		Mean: 0.35 		Best: 8.71 		Nº:5
Weaver         		Mean: 0.87 		Best: 7.77 		Nº:3
Moreno         		Mean: 0.0  		Best: 0.0 		Nº:7

########## REPORT GEN: 11 ##########
SPECIES: 
Battle         		Mean: 1.43 		Best: 9.6 		Nº:5
Wilson         		Mean: 0.95 		Best: 9.6 		Nº:8
May            		Mean: 0.82 		Best: 9.6 		Nº:8
Dean           		Mean: 0.44 		Best: 9.6 		Nº:11
Page           		Mean: 1.36 		Best: 9.6 		Nº:5
Nott           		Mean: 0.77 		Best: 9.6 		Nº:9
Lenk           		Mean: 1.45 		Best: 9.6 		Nº:6
Gonzales       		Mean: 0.75 		Best: 9.6 		Nº:6
Hadlock        		Mean: 0.95 		Best: 9.6 		Nº:8
Houston        		Mean: 2.41 		Best: 9.6 		Nº:2
Weaver         		Mean: 0.27 		Best: 9.6 		Nº:6
Moreno         		Mean: 1.09 		Best: 9.6 		Nº:4
Freeland       		Mean: 0.5  		Best: 8.71 		Nº:8
Jones          		Mean: 0.54 		Best: 8.71 		Nº:4
Alvarado       		Mean: 0.55 		Best: 8.71 		Nº:4
Stevens        		Mean: 0.55 		Best: 8.71 		Nº:4
Larimore       		Mean: 0.22 		Best: 7.77 		Nº:6
Lodge          		Mean: 0.22 		Best: 7.77 		Nº:6

########## REPORT GEN: 12 ##########
SPECIES: 
Battle         		Mean: 0.79 		Best: 9.6 		Nº:10
Wilson         		Mean: 0.45 		Best: 9.6 		Nº:9
May            		Mean: 0.97 		Best: 9.6 		Nº:8
Page           		Mean: 0.51 		Best: 9.6 		Nº:10
Nott           		Mean: 0.89 		Best: 9.6 		Nº:7
Lenk           		Mean: 0.54 		Best: 9.6 		Nº:12
Gonzales       		Mean: 0.55 		Best: 9.6 		Nº:7
Hadlock        		Mean: 0.77 		Best: 9.6 		Nº:9
Houston        		Mean: 1.15 		Best: 9.6 		Nº:4
Moreno         		Mean: 0.82 		Best: 9.6 		Nº:8
Jones          		Mean: 0.38 		Best: 9.6 		Nº:5
Stevens        		Mean: 1.01 		Best: 9.6 		Nº:5
Larimore       		Mean: 1.15 		Best: 9.6 		Nº:4
Dean           		Mean: 1.01 		Best: 8.71 		Nº:5
Freeland       		Mean: 1.03 		Best: 8.71 		Nº:4
Alvarado       		Mean: 0.31 		Best: 7.77 		Nº:5
Lodge          		Mean: 0.87 		Best: 7.77 		Nº:3
Weaver         		Mean: 0.0  		Best: 0.0 		Nº:3

########## REPORT GEN: 13 ##########
SPECIES: 
Battle         		Mean: 0.83 		Best: 9.6 		Nº:8
Wilson         		Mean: 1.32 		Best: 9.6 		Nº:5
May            		Mean: 0.71 		Best: 9.6 		Nº:10
Nott           		Mean: 0.59 		Best: 9.6 		Nº:10
Lenk           		Mean: 1.02 		Best: 9.6 		Nº:6
Hadlock        		Mean: 0.83 		Best: 9.6 		Nº:8
Moreno         		Mean: 0.65 		Best: 9.6 		Nº:9
Jones          		Mean: 0.6  		Best: 9.6 		Nº:4
Stevens        		Mean: 0.46 		Best: 9.6 		Nº:10
Dean           		Mean: 0.34 		Best: 9.6 		Nº:10
Freeland       		Mean: 0.97 		Best: 9.6 		Nº:8
Page           		Mean: 1.01 		Best: 8.71 		Nº:5
Gonzales       		Mean: 0.24 		Best: 8.71 		Nº:6
Houston        		Mean: 0.14 		Best: 8.71 		Nº:8
Larimore       		Mean: 0.4  		Best: 8.71 		Nº:8
Lodge          		Mean: 0.24 		Best: 8.71 		Nº:6
Dandy          		Mean: 2.2  		Best: 8.71 		Nº:2
Alvarado       		Mean: 0.87 		Best: 7.77 		Nº:3

########## REPORT GEN: 14 ##########
SPECIES: 
Lenk           		Mean: 1.02 		Best: 9.6 		Nº:6
Stevens        		Mean: 0.38 		Best: 9.6 		Nº:5
Freeland       		Mean: 1.02 		Best: 9.6 		Nº:6
Larimore       		Mean: 1.64 		Best: 9.6 		Nº:4
Battle         		Mean: 1.36 		Best: 8.71 		Nº:5
Wilson         		Mean: 0.67 		Best: 8.71 		Nº:8
May            		Mean: 0.97 		Best: 8.71 		Nº:5
Moreno         		Mean: 1.53 		Best: 8.71 		Nº:4
Gonzales       		Mean: 0.97 		Best: 8.71 		Nº:3
Houston        		Mean: 0.55 		Best: 8.71 		Nº:4
Weaver         		Mean: 4.12 		Best: 8.71 		Nº:2
Alvarado       		Mean: 0.98 		Best: 8.71 		Nº:5
Nott           		Mean: 0.62 		Best: 7.77 		Nº:5
Hadlock        		Mean: 0.31 		Best: 7.77 		Nº:5
Dandy          		Mean: 0.98 		Best: 7.77 		Nº:4
Ferreira       		Mean: 1.95 		Best: 7.77 		Nº:2
Jones          		Mean: 0.0  		Best: 0.0 		Nº:4
Dean           		Mean: 0.0  		Best: 0.0 		Nº:5
Page           		Mean: 0.0  		Best: 0.0 		Nº:6
Lodge          		Mean: 0.0  		Best: 0.0 		Nº:3

########## REPORT GEN: 15 ##########
SPECIES: 
Stevens        		Mean: 2.13 		Best: 9.6 		Nº:3
Freeland       		Mean: 0.82 		Best: 9.6 		Nº:8
Larimore       		Mean: 1.06 		Best: 9.6 		Nº:8
Battle         		Mean: 0.71 		Best: 9.6 		Nº:10
Wilson         		Mean: 1.39 		Best: 9.6 		Nº:5
May            		Mean: 1.07 		Best: 9.6 		Nº:7
Moreno         		Mean: 0.84 		Best: 9.6 		Nº:9
Houston        		Mean: 0.6  		Best: 9.6 		Nº:4
Ferreira       		Mean: 1.75 		Best: 9.6 		Nº:4
Jones          		Mean: 2.4  		Best: 9.6 		Nº:2
Page           		Mean: 1.07 		Best: 9.6 		Nº:3
Lenk           		Mean: 0.26 		Best: 8.71 		Nº:8
Gonzales       		Mean: 0.24 		Best: 8.71 		Nº:6
Weaver         		Mean: 1.09 		Best: 8.71 		Nº:4
Nott           		Mean: 0.55 		Best: 8.71 		Nº:4
Hadlock        		Mean: 4.13 		Best: 8.71 		Nº:2
Dandy          		Mean: 0.86 		Best: 8.71 		Nº:7
Alvarado       		Mean: 0.16 		Best: 7.77 		Nº:7
Dean           		Mean: 1.95 		Best: 7.77 		Nº:2

########## REPORT GEN: 16 ##########
SPECIES: 
Stevens        		Mean: 1.5  		Best: 9.6 		Nº:6
Freeland       		Mean: 1.81 		Best: 9.6 		Nº:5
Larimore       		Mean: 0.82 		Best: 9.6 		Nº:8
Battle         		Mean: 1.82 		Best: 9.6 		Nº:5
Wilson         		Mean: 0.84 		Best: 9.6 		Nº:9
May            		Mean: 1.09 		Best: 9.6 		Nº:7
Ferreira       		Mean: 0.55 		Best: 9.6 		Nº:9
Jones          		Mean: 0.36 		Best: 9.6 		Nº:7
Page           		Mean: 1.02 		Best: 9.6 		Nº:6
Lenk           		Mean: 0.7  		Best: 9.6 		Nº:5
Weaver         		Mean: 0.41 		Best: 9.6 		Nº:8
Nott           		Mean: 1.07 		Best: 9.6 		Nº:3
Dandy          		Mean: 0.71 		Best: 9.6 		Nº:7
Moreno         		Mean: 0.7  		Best: 8.71 		Nº:5
Houston        		Mean: 0.35 		Best: 8.71 		Nº:5
Gonzales       		Mean: 0.97 		Best: 8.71 		Nº:3
Hadlock        		Mean: 0.92 		Best: 8.71 		Nº:6
Alvarado       		Mean: 0.97 		Best: 8.71 		Nº:3
Dean           		Mean: 0.49 		Best: 7.77 		Nº:4

########## REPORT GEN: 17 ##########
SPECIES: 
Stevens        		Mean: 0.95 		Best: 9.6 		Nº:8
Freeland       		Mean: 0.71 		Best: 9.6 		Nº:10
Larimore       		Mean: 1.21 		Best: 9.6 		Nº:4
Battle         		Mean: 0.53 		Best: 9.6 		Nº:10
Wilson         		Mean: 1.15 		Best: 9.6 		Nº:4
May            		Mean: 0.97 		Best: 9.6 		Nº:6
Lenk           		Mean: 1.15 		Best: 9.6 		Nº:4
Dandy          		Mean: 1.15 		Best: 9.6 		Nº:4
Alvarado       		Mean: 1.05 		Best: 9.6 		Nº:5
Page           		Mean: 1.14 		Best: 8.71 		Nº:6
Nott           		Mean: 0.24 		Best: 8.71 		Nº:6
Houston        		Mean: 2.19 		Best: 8.71 		Nº:2
Hadlock        		Mean: 0.97 		Best: 8.71 		Nº:5
Lodge          		Mean: 4.36 		Best: 8.71 		Nº:2
Ferreira       		Mean: 0.49 		Best: 7.77 		Nº:4
Jones          		Mean: 0.87 		Best: 7.77 		Nº:3
Weaver         		Mean: 0.49 		Best: 7.77 		Nº:4
Moreno         		Mean: 1.47 		Best: 7.77 		Nº:4
Dean           		Mean: 1.95 		Best: 7.77 		Nº:2
Gonzales       		Mean: 0.0  		Best: 0.0 		Nº:5

########## REPORT GEN: 18 ##########
SPECIES: 
Stevens        		Mean: 1.04 		Best: 9.6 		Nº:6
Freeland       		Mean: 1.54 		Best: 9.6 		Nº:5
Battle         		Mean: 1.75 		Best: 9.6 		Nº:5
Wilson         		Mean: 1.24 		Best: 9.6 		Nº:7
May            		Mean: 1.48 		Best: 9.6 		Nº:6
Lenk           		Mean: 0.38 		Best: 9.6 		Nº:7
Page           		Mean: 0.75 		Best: 9.6 		Nº:7
Nott           		Mean: 1.07 		Best: 9.6 		Nº:3
Hadlock        		Mean: 1.4  		Best: 9.6 		Nº:6
Lodge          		Mean: 1.14 		Best: 9.6 		Nº:4
Dandy          		Mean: 0.68 		Best: 8.71 		Nº:7
Moreno         		Mean: 0.4  		Best: 8.71 		Nº:9
Dean           		Mean: 1.03 		Best: 8.71 		Nº:4
Gonzales       		Mean: 2.18 		Best: 8.71 		Nº:2
Larimore       		Mean: 0.16 		Best: 7.77 		Nº:7
Alvarado       		Mean: 0.22 		Best: 7.77 		Nº:6
Ferreira       		Mean: 0.87 		Best: 7.77 		Nº:3
Houston        		Mean: 0.0  		Best: 0.0 		Nº:4
Jones          		Mean: 0.0  		Best: 0.0 		Nº:5
Weaver         		Mean: 0.0  		Best: 0.0 		Nº:3

########## REPORT GEN: 19 ##########
SPECIES: 
Stevens        		Mean: 0.32 		Best: 9.6 		Nº:9
Freeland       		Mean: 0.69 		Best: 9.6 		Nº:10
Battle         		Mean: 0.7  		Best: 9.6 		Nº:10
Wilson         		Mean: 0.71 		Best: 9.6 		Nº:10
May            		Mean: 0.58 		Best: 9.6 		Nº:12
Page           		Mean: 1.48 		Best: 9.6 		Nº:6
Nott           		Mean: 0.27 		Best: 9.6 		Nº:6
Hadlock        		Mean: 0.69 		Best: 9.6 		Nº:12
Lodge          		Mean: 0.67 		Best: 9.6 		Nº:8
Dean           		Mean: 0.41 		Best: 9.6 		Nº:8
Alvarado       		Mean: 1.08 		Best: 9.6 		Nº:3
Ferreira       		Mean: 1.24 		Best: 9.6 		Nº:6
Houston        		Mean: 2.41 		Best: 9.6 		Nº:2
Dandy          		Mean: 0.35 		Best: 8.71 		Nº:5
Moreno         		Mean: 1.64 		Best: 8.71 		Nº:4
Gonzales       		Mean: 1.03 		Best: 8.71 		Nº:4
Jones          		Mean: 2.19 		Best: 8.71 		Nº:2
Larimore       		Mean: 0.87 		Best: 7.77 		Nº:3
Lenk           		Mean: 0.0  		Best: 0.0 		Nº:4

########## REPORT GEN: 20 ##########
SPECIES: 
Stevens        		Mean: 0.6  		Best: 9.6 		Nº:4
Freeland       		Mean: 1.43 		Best: 9.6 		Nº:5
Battle         		Mean: 1.4  		Best: 9.6 		Nº:5
Wilson         		Mean: 1.56 		Best: 9.6 		Nº:6
May            		Mean: 0.94 		Best: 9.6 		Nº:6
Page           		Mean: 0.55 		Best: 9.6 		Nº:8
Hadlock        		Mean: 1.0  		Best: 9.6 		Nº:6
Lodge          		Mean: 1.75 		Best: 9.6 		Nº:4
Dean           		Mean: 1.75 		Best: 9.6 		Nº:4
Ferreira       		Mean: 1.21 		Best: 9.6 		Nº:6
Dandy          		Mean: 4.34 		Best: 9.6 		Nº:2
Moreno         		Mean: 0.44 		Best: 9.6 		Nº:8
Larimore       		Mean: 0.6  		Best: 9.6 		Nº:4
Weaver         		Mean: 4.12 		Best: 8.71 		Nº:2
Gonzales       		Mean: 0.35 		Best: 8.71 		Nº:5
Jones          		Mean: 1.03 		Best: 8.71 		Nº:4
Lenk           		Mean: 4.14 		Best: 8.71 		Nº:2
Houston        		Mean: 0.49 		Best: 7.77 		Nº:4
Nott           		Mean: 0.0  		Best: 0.0 		Nº:3
Alvarado       		Mean: 0.0  		Best: 0.0 		Nº:6

########## REPORT GEN: 21 ##########
SPECIES: 
Battle         		Mean: 0.35 		Best: 9.6 		Nº:7
Wilson         		Mean: 1.12 		Best: 9.6 		Nº:8
May            		Mean: 1.43 		Best: 9.6 		Nº:5
Lodge          		Mean: 0.64 		Best: 9.6 		Nº:8
Dean           		Mean: 0.44 		Best: 9.6 		Nº:8
Ferreira       		Mean: 0.94 		Best: 9.6 		Nº:6
Dandy          		Mean: 2.18 		Best: 9.6 		Nº:4
Weaver         		Mean: 1.69 		Best: 9.6 		Nº:4
Lenk           		Mean: 1.15 		Best: 9.6 		Nº:4
Stevens        		Mean: 1.83 		Best: 8.71 		Nº:3
Freeland       		Mean: 0.65 		Best: 8.71 		Nº:8
Larimore       		Mean: 0.98 		Best: 8.71 		Nº:3
Gonzales       		Mean: 2.18 		Best: 8.71 		Nº:2
Jones          		Mean: 1.29 		Best: 8.71 		Nº:5
Page           		Mean: 0.49 		Best: 7.77 		Nº:4
Hadlock        		Mean: 0.62 		Best: 7.77 		Nº:5
Moreno         		Mean: 0.49 		Best: 7.77 		Nº:4
Alvarado       		Mean: 0.87 		Best: 7.77 		Nº:3
