########## REPORT GEN: 2 ##########
SPECIES: 
Lacroix        		Mean: 183.25 		Best: 900.61 		N:5
Clark          		Mean: 182.52 		Best: 900.61 		N:5
Smith          		Mean: 228.04 		Best: 900.61 		N:4
Renz           		Mean: 228.63 		Best: 900.61 		N:4
Umberger       		Mean: 182.99 		Best: 900.61 		N:5
Miller         		Mean: 304.14 		Best: 900.42 		N:3
Brown          		Mean: 225.87 		Best: 900.38 		N:4
Tilson         		Mean: 451.25 		Best: 900.38 		N:2
Schulman       		Mean: 303.3 		Best: 902.76 		N:3

########## REPORT GEN: 14 ##########
SPECIES: 
Phipps         		Mean: 114.37 		Best: 904.83 		N:8
Tilson         		Mean: 182.65 		Best: 904.83 		N:5
Boggs          		Mean: 152.3 		Best: 904.83 		N:6
Schulman       		Mean: 113.91 		Best: 902.76 		N:8
Smith          		Mean: 304.92 		Best: 901.37 		N:3
Lewis          		Mean: 303.28 		Best: 900.88 		N:3
Umberger       		Mean: 229.31 		Best: 904.83 		N:4
Yeatts         		Mean: 182.16 		Best: 900.61 		N:5
Marshall       		Mean: 227.47 		Best: 900.61 		N:4
Lacroix        		Mean: 181.83 		Best: 900.61 		N:5
Clark          		Mean: 101.4 		Best: 900.61 		N:9
Renz           		Mean: 83.14 		Best: 904.83 		N:11
Brown          		Mean: 228.11 		Best: 900.61 		N:4
Miller         		Mean: 451.58 		Best: 900.38 		N:2

########## REPORT GEN: 15 ##########
SPECIES: 
Marshall       		Mean: 101.08 		Best: 904.83 		N:9
Lacroix        		Mean: 182.57 		Best: 904.83 		N:5
Clark          		Mean: 182.86 		Best: 904.83 		N:5
Brown          		Mean: 227.46 		Best: 902.76 		N:4
Schulman       		Mean: 114.62 		Best: 901.37 		N:8
Umberger       		Mean: 129.99 		Best: 901.37 		N:7
Lewis          		Mean: 114.49 		Best: 900.67 		N:8
Tilson         		Mean: 151.96 		Best: 900.61 		N:6
Smith          		Mean: 228.55 		Best: 900.61 		N:4
Miller         		Mean: 150.72 		Best: 900.54 		N:6
Boggs          		Mean: 101.18 		Best: 900.82 		N:9
Yeatts         		Mean: 304.27 		Best: 900.61 		N:3
Phipps         		Mean: 227.92 		Best: 900.88 		N:4
Renz           		Mean: 452.79 		Best: 900.38 		N:2

########## REPORT GEN: 16 ##########
SPECIES: 
Clark          		Mean: 227.46 		Best: 904.83 		N:4
Schulman       		Mean: 303.58 		Best: 904.83 		N:3
Phipps         		Mean: 130.58 		Best: 904.83 		N:7
Renz           		Mean: 70.27 		Best: 902.76 		N:13
Tilson         		Mean: 228.22 		Best: 901.37 		N:4
Yeatts         		Mean: 114.04 		Best: 900.77 		N:8
Marshall       		Mean: 302.73 		Best: 900.61 		N:3
Lacroix        		Mean: 451.49 		Best: 900.54 		N:2
Umberger       		Mean: 130.22 		Best: 901.37 		N:7
Lewis          		Mean: 228.58 		Best: 900.61 		N:4
Boggs          		Mean: 182.22 		Best: 900.42 		N:5
Brown          		Mean: 301.78 		Best: 900.38 		N:3
Smith          		Mean: 129.95 		Best: 900.38 		N:7
Miller         		Mean: 151.22 		Best: 900.54 		N:6

########## REPORT GEN: 17 ##########
SPECIES: 
Schulman       		Mean: 129.69 		Best: 904.83 		N:7
Renz           		Mean: 100.95 		Best: 904.83 		N:9
Lacroix        		Mean: 130.41 		Best: 904.83 		N:7
Boggs          		Mean: 151.53 		Best: 904.83 		N:6
Miller         		Mean: 454.79 		Best: 902.76 		N:2
Phipps         		Mean: 152.24 		Best: 901.37 		N:6
Tilson         		Mean: 101.43 		Best: 900.67 		N:9
Brown          		Mean: 151.69 		Best: 900.67 		N:6
Marshall       		Mean: 182.15 		Best: 900.54 		N:5
Umberger       		Mean: 227.23 		Best: 900.54 		N:4
Lewis          		Mean: 451.96 		Best: 900.38 		N:2
Smith          		Mean: 150.67 		Best: 900.38 		N:6
Clark          		Mean: 455.36 		Best: 900.3 		N:2
Yeatts         		Mean: 130.04 		Best: 900.38 		N:7

########## REPORT GEN: 18 ##########
SPECIES: 
Smith          		Mean: 152.16 		Best: 904.83 		N:6
Yeatts         		Mean: 101.19 		Best: 902.76 		N:9
Boggs          		Mean: 182.63 		Best: 901.37 		N:5
Phipps         		Mean: 454.36 		Best: 900.67 		N:2
Schulman       		Mean: 226.02 		Best: 900.64 		N:4
Marshall       		Mean: 65.22 		Best: 904.83 		N:14
Lacroix        		Mean: 180.9 		Best: 900.38 		N:5
Tilson         		Mean: 151.02 		Best: 900.54 		N:6
Brown          		Mean: 451.59 		Best: 900.38 		N:2
Clark          		Mean: 301.31 		Best: 900.38 		N:3
Miller         		Mean: 452.12 		Best: 900.36 		N:2
Umberger       		Mean: 151.73 		Best: 900.3 		N:6
Lewis          		Mean: 455.11 		Best: 900.3 		N:2

########## REPORT GEN: 19 ##########
SPECIES: 
Yeatts         		Mean: 181.52 		Best: 904.83 		N:5
Smith          		Mean: 129.79 		Best: 901.37 		N:7
Phipps         		Mean: 302.88 		Best: 900.67 		N:3
Miller         		Mean: 151.45 		Best: 900.64 		N:6
Boggs          		Mean: 181.0 		Best: 900.53 		N:5
Marshall       		Mean: 303.42 		Best: 902.76 		N:3
Lacroix        		Mean: 226.07 		Best: 900.38 		N:4
Tilson         		Mean: 301.13 		Best: 900.38 		N:3
Schulman       		Mean: 181.84 		Best: 900.38 		N:5
Lewis          		Mean: 302.36 		Best: 900.34 		N:3
Clark          		Mean: 225.82 		Best: 900.38 		N:4
Brown          		Mean: 129.67 		Best: 900.39 		N:7
Renz           		Mean: 301.5 		Best: 900.34 		N:3

########## REPORT GEN: 20 ##########
SPECIES: 
Marshall       		Mean: 227.3 		Best: 904.83 		N:4
Schulman       		Mean: 130.33 		Best: 904.83 		N:7
Smith          		Mean: 228.32 		Best: 902.76 		N:4
Lewis          		Mean: 182.44 		Best: 901.37 		N:5
Phipps         		Mean: 182.37 		Best: 900.88 		N:5
Lacroix        		Mean: 226.14 		Best: 900.64 		N:4
Yeatts         		Mean: 303.11 		Best: 900.42 		N:3
Boggs          		Mean: 180.94 		Best: 900.48 		N:5
Tilson         		Mean: 225.99 		Best: 900.38 		N:4
Renz           		Mean: 180.95 		Best: 900.38 		N:5
Clark          		Mean: 302.97 		Best: 900.38 		N:3
Brown          		Mean: 301.84 		Best: 900.34 		N:3
Miller         		Mean: 130.02 		Best: 900.94 		N:7
Umberger       		Mean: 180.69 		Best: 900.39 		N:5

########## REPORT GEN: 21 ##########
SPECIES: 
Smith          		Mean: 130.1 		Best: 904.83 		N:7
Phipps         		Mean: 302.63 		Best: 904.83 		N:3
Yeatts         		Mean: 182.31 		Best: 904.83 		N:5
Tilson         		Mean: 129.72 		Best: 902.76 		N:7
Renz           		Mean: 226.48 		Best: 901.38 		N:4
Clark          		Mean: 101.17 		Best: 901.37 		N:9
Umberger       		Mean: 181.75 		Best: 900.88 		N:5
Miller         		Mean: 181.77 		Best: 900.99 		N:5
Boggs          		Mean: 129.41 		Best: 900.53 		N:7
Lacroix        		Mean: 113.64 		Best: 900.64 		N:8
Schulman       		Mean: 113.32 		Best: 900.38 		N:8
Brown          		Mean: 226.32 		Best: 900.38 		N:4
Lewis          		Mean: 113.68 		Best: 900.38 		N:8
Marshall       		Mean: 226.02 		Best: 900.34 		N:4

########## REPORT GEN: 22 ##########
SPECIES: 
Umberger       		Mean: 182.74 		Best: 919.29 		N:5
Smith          		Mean: 101.3 		Best: 904.83 		N:9
Phipps         		Mean: 130.46 		Best: 904.83 		N:7
Boggs          		Mean: 101.07 		Best: 904.83 		N:9
Lewis          		Mean: 101.17 		Best: 904.83 		N:9
Yeatts         		Mean: 454.31 		Best: 902.76 		N:2
Miller         		Mean: 182.05 		Best: 901.37 		N:5
Marshall       		Mean: 82.61 		Best: 901.38 		N:11
Schulman       		Mean: 113.83 		Best: 900.67 		N:8
Tilson         		Mean: 181.06 		Best: 900.38 		N:5
Brown          		Mean: 129.79 		Best: 900.38 		N:7
Renz           		Mean: 301.56 		Best: 900.34 		N:3

########## REPORT GEN: 23 ##########
SPECIES: 
Smith          		Mean: 182.62 		Best: 919.29 		N:5
Lewis          		Mean: 113.94 		Best: 904.83 		N:8
Yeatts         		Mean: 181.54 		Best: 904.83 		N:5
Lacroix        		Mean: 114.13 		Best: 904.83 		N:8
Brown          		Mean: 182.14 		Best: 904.83 		N:5
Umberger       		Mean: 227.17 		Best: 902.76 		N:4
Miller         		Mean: 454.45 		Best: 902.76 		N:2
Clark          		Mean: 454.26 		Best: 901.37 		N:2
Phipps         		Mean: 182.05 		Best: 900.82 		N:5
Schulman       		Mean: 450.05 		Best: 900.09 		N:2
Tilson         		Mean: 300.38 		Best: 900.14 		N:3
Renz           		Mean: 302.25 		Best: 900.67 		N:3

########## REPORT GEN: 24 ##########
SPECIES: 
Smith          		Mean: 152.2 		Best: 919.29 		N:6
Renz           		Mean: 228.99 		Best: 919.29 		N:4
Lewis          		Mean: 302.85 		Best: 904.83 		N:3
Marshall       		Mean: 129.73 		Best: 904.83 		N:7
Schulman       		Mean: 182.41 		Best: 904.83 		N:5
Tilson         		Mean: 151.94 		Best: 904.83 		N:6
Umberger       		Mean: 151.45 		Best: 901.37 		N:6
Miller         		Mean: 130.15 		Best: 901.37 		N:7
Yeatts         		Mean: 450.27 		Best: 900.2 		N:2
Brown          		Mean: 226.31 		Best: 900.82 		N:4
Lacroix        		Mean: 227.71 		Best: 900.37 		N:4
Clark          		Mean: 450.42 		Best: 900.09 		N:2

########## REPORT GEN: 25 ##########
SPECIES: 
Schulman       		Mean: 152.27 		Best: 919.29 		N:6
Miller         		Mean: 182.87 		Best: 919.29 		N:5
Clark          		Mean: 305.9 		Best: 919.29 		N:3
Renz           		Mean: 182.2 		Best: 907.97 		N:5
Brown          		Mean: 113.73 		Best: 907.97 		N:8
Smith          		Mean: 227.45 		Best: 904.83 		N:4
Phipps         		Mean: 182.47 		Best: 904.83 		N:5
Marshall       		Mean: 227.0 		Best: 900.37 		N:4
Umberger       		Mean: 151.24 		Best: 900.73 		N:6
Yeatts         		Mean: 301.27 		Best: 900.34 		N:3
Lewis          		Mean: 226.21 		Best: 900.2 		N:4
Lacroix        		Mean: 226.51 		Best: 900.1 		N:4

########## REPORT GEN: 26 ##########
SPECIES: 
Marshall       		Mean: 184.04 		Best: 928.44 		N:5
Schulman       		Mean: 101.5 		Best: 919.29 		N:9
Yeatts         		Mean: 113.95 		Best: 919.29 		N:8
Tilson         		Mean: 182.28 		Best: 919.29 		N:5
Lewis          		Mean: 228.65 		Best: 919.29 		N:4
Renz           		Mean: 130.19 		Best: 907.97 		N:7
Clark          		Mean: 454.37 		Best: 904.83 		N:2
Brown          		Mean: 101.02 		Best: 904.83 		N:9
Phipps         		Mean: 227.8 		Best: 904.83 		N:4
Smith          		Mean: 129.93 		Best: 901.37 		N:7
Lacroix        		Mean: 181.63 		Best: 901.37 		N:5

########## REPORT GEN: 27 ##########
SPECIES: 
Yeatts         		Mean: 101.51 		Best: 928.45 		N:9
Schulman       		Mean: 152.83 		Best: 928.44 		N:6
Smith          		Mean: 152.34 		Best: 925.53 		N:6
Tilson         		Mean: 130.89 		Best: 919.29 		N:7
Clark          		Mean: 83.12 		Best: 919.29 		N:11
Phipps         		Mean: 151.91 		Best: 919.29 		N:6
Marshall       		Mean: 151.9 		Best: 915.23 		N:6
Renz           		Mean: 181.77 		Best: 904.83 		N:5
Brown          		Mean: 151.23 		Best: 901.37 		N:6
Lacroix        		Mean: 181.59 		Best: 901.29 		N:5
Lewis          		Mean: 302.74 		Best: 900.37 		N:3

########## REPORT GEN: 28 ##########
SPECIES: 
Brown          		Mean: 75.92 		Best: 928.45 		N:12
Lewis          		Mean: 152.37 		Best: 925.53 		N:6
Yeatts         		Mean: 91.05 		Best: 919.29 		N:10
Schulman       		Mean: 182.49 		Best: 919.29 		N:5
Smith          		Mean: 101.07 		Best: 919.29 		N:9
Marshall       		Mean: 182.65 		Best: 919.29 		N:5
Renz           		Mean: 114.2 		Best: 919.29 		N:8
Tilson         		Mean: 90.56 		Best: 904.83 		N:10
Clark          		Mean: 129.41 		Best: 904.83 		N:7
Lacroix        		Mean: 226.91 		Best: 904.83 		N:4
Phipps         		Mean: 129.0 		Best: 900.34 		N:7

########## REPORT GEN: 29 ##########
SPECIES: 
Tilson         		Mean: 130.33 		Best: 928.45 		N:7
Schulman       		Mean: 75.66 		Best: 925.53 		N:12
Brown          		Mean: 90.66 		Best: 919.29 		N:10
Lewis          		Mean: 130.23 		Best: 919.29 		N:7
Yeatts         		Mean: 113.97 		Best: 919.29 		N:8
Renz           		Mean: 182.93 		Best: 919.29 		N:5
Lacroix        		Mean: 90.75 		Best: 919.29 		N:10
Smith          		Mean: 151.55 		Best: 904.83 		N:6
Clark          		Mean: 82.32 		Best: 904.83 		N:11
Marshall       		Mean: 151.19 		Best: 901.29 		N:6
Phipps         		Mean: 302.04 		Best: 900.34 		N:3

########## REPORT GEN: 30 ##########
SPECIES: 
Tilson         		Mean: 182.1 		Best: 928.45 		N:5
Marshall       		Mean: 114.25 		Best: 928.45 		N:8
Yeatts         		Mean: 152.62 		Best: 925.53 		N:6
Schulman       		Mean: 114.11 		Best: 919.29 		N:8
Brown          		Mean: 82.56 		Best: 919.29 		N:11
Lewis          		Mean: 90.79 		Best: 919.29 		N:10
Clark          		Mean: 181.75 		Best: 919.29 		N:5
Smith          		Mean: 129.34 		Best: 904.83 		N:7
Phipps         		Mean: 100.96 		Best: 904.83 		N:9
Lacroix        		Mean: 100.49 		Best: 900.37 		N:9
Renz           		Mean: 180.51 		Best: 900.2 		N:5

########## REPORT GEN: 31 ##########
SPECIES: 
Tilson         		Mean: 76.33 		Best: 928.45 		N:12
Phipps         		Mean: 151.32 		Best: 928.45 		N:6
Marshall       		Mean: 91.16 		Best: 925.53 		N:10
Lacroix        		Mean: 101.19 		Best: 919.66 		N:9
Lewis          		Mean: 101.56 		Best: 919.29 		N:9
Smith          		Mean: 181.84 		Best: 919.29 		N:5
Brown          		Mean: 82.31 		Best: 904.83 		N:11
Clark          		Mean: 226.4 		Best: 901.29 		N:4
Renz           		Mean: 129.24 		Best: 900.43 		N:7
Schulman       		Mean: 75.34 		Best: 900.16 		N:12
Yeatts         		Mean: 226.28 		Best: 900.12 		N:4

########## REPORT GEN: 32 ##########
SPECIES: 
Tilson         		Mean: 113.75 		Best: 928.45 		N:8
Clark          		Mean: 69.83 		Best: 928.45 		N:13
Renz           		Mean: 130.21 		Best: 925.53 		N:7
Lacroix        		Mean: 114.09 		Best: 919.66 		N:8
Smith          		Mean: 151.35 		Best: 919.29 		N:6
Schulman       		Mean: 181.75 		Best: 919.29 		N:5
Brown          		Mean: 151.3 		Best: 904.83 		N:6
Phipps         		Mean: 90.38 		Best: 901.29 		N:10
Yeatts         		Mean: 225.7 		Best: 900.27 		N:4
Marshall       		Mean: 180.89 		Best: 900.43 		N:5
Lewis          		Mean: 100.46 		Best: 900.48 		N:9

########## REPORT GEN: 33 ##########
SPECIES: 
Renz           		Mean: 91.2 		Best: 928.45 		N:10
Clark          		Mean: 129.7 		Best: 925.53 		N:7
Smith          		Mean: 82.85 		Best: 928.45 		N:11
Phipps         		Mean: 90.82 		Best: 919.66 		N:10
Lewis          		Mean: 101.01 		Best: 919.29 		N:9
Schulman       		Mean: 113.3 		Best: 904.83 		N:8
Lacroix        		Mean: 301.64 		Best: 900.22 		N:3
