########## REPORT GEN: 2 ##########
SPECIES: 
Lawrence       		Mean: 459.16 		Best: 912.1 		N:2
Whitaker       		Mean: 447.76 		Best: 892.54 		N:2

########## REPORT GEN: 18 ##########
SPECIES: 
Olson          		Mean: 153.33 		Best: 944.1 		N:6
Thomas         		Mean: 184.56 		Best: 941.4 		N:5
Loiacono       		Mean: 114.96 		Best: 941.4 		N:8
Kuo            		Mean: 306.19 		Best: 938.56 		N:3
Lawrence       		Mean: 186.71 		Best: 938.56 		N:5
Lodge          		Mean: 116.34 		Best: 937.61 		N:8
Loynes         		Mean: 181.13 		Best: 918.08 		N:5
Marsh          		Mean: 183.4 		Best: 915.41 		N:5
Snyder         		Mean: 460.78 		Best: 910.85 		N:2
Whitaker       		Mean: 150.63 		Best: 907.23 		N:6

########## REPORT GEN: 19 ##########
SPECIES: 
Kuo            		Mean: 232.68 		Best: 944.1 		N:4
Lodge          		Mean: 91.9 		Best: 941.4 		N:10
Loynes         		Mean: 183.53 		Best: 941.4 		N:5
Marsh          		Mean: 115.64 		Best: 941.4 		N:8
Thomas         		Mean: 91.97 		Best: 938.56 		N:10
Olson          		Mean: 92.21 		Best: 937.61 		N:10
Snyder         		Mean: 152.8 		Best: 937.61 		N:6
Loiacono       		Mean: 153.32 		Best: 936.42 		N:6
Lawrence       		Mean: 305.08 		Best: 919.22 		N:3
Whitaker       		Mean: 152.18 		Best: 919.22 		N:6

########## REPORT GEN: 20 ##########
SPECIES: 
Kuo            		Mean: 102.52 		Best: 944.1 		N:9
Loynes         		Mean: 182.28 		Best: 944.1 		N:5
Thomas         		Mean: 83.27 		Best: 944.1 		N:11
Olson          		Mean: 91.8 		Best: 941.4 		N:10
Whitaker       		Mean: 132.17 		Best: 941.4 		N:7
Lawrence       		Mean: 91.82 		Best: 938.56 		N:10
Loiacono       		Mean: 153.86 		Best: 937.61 		N:6
Marsh          		Mean: 115.51 		Best: 944.1 		N:8
Snyder         		Mean: 130.23 		Best: 919.22 		N:7
Lodge          		Mean: 302.26 		Best: 918.08 		N:3

########## REPORT GEN: 21 ##########
SPECIES: 
Kuo            		Mean: 114.95 		Best: 944.1 		N:8
Snyder         		Mean: 184.59 		Best: 944.1 		N:5
Thomas         		Mean: 102.43 		Best: 944.1 		N:9
Lawrence       		Mean: 188.82 		Best: 938.56 		N:5
Loiacono       		Mean: 92.23 		Best: 936.42 		N:10
Marsh          		Mean: 91.27 		Best: 936.42 		N:10
Whitaker       		Mean: 130.21 		Best: 936.05 		N:7
Olson          		Mean: 90.5 		Best: 923.31 		N:10
Lodge          		Mean: 130.25 		Best: 919.22 		N:7
Loynes         		Mean: 128.97 		Best: 915.41 		N:7

########## REPORT GEN: 22 ##########
SPECIES: 
Snyder         		Mean: 70.17 		Best: 944.1 		N:13
Lawrence       		Mean: 70.5 		Best: 944.1 		N:13
Olson          		Mean: 130.83 		Best: 941.73 		N:7
Kuo            		Mean: 76.82 		Best: 941.4 		N:12
Thomas         		Mean: 82.83 		Best: 938.56 		N:11
Loiacono       		Mean: 71.2 		Best: 938.56 		N:13
Marsh          		Mean: 154.77 		Best: 937.61 		N:6
Whitaker       		Mean: 131.3 		Best: 937.61 		N:7
Lodge          		Mean: 302.54 		Best: 919.22 		N:3
Loynes         		Mean: 180.57 		Best: 919.22 		N:5

########## REPORT GEN: 23 ##########
SPECIES: 
Lawrence       		Mean: 181.63 		Best: 944.1 		N:5
Olson          		Mean: 84.16 		Best: 944.1 		N:11
Loiacono       		Mean: 115.58 		Best: 941.73 		N:8
Marsh          		Mean: 83.79 		Best: 944.1 		N:11
Whitaker       		Mean: 92.2 		Best: 938.56 		N:10
Loynes         		Mean: 184.0 		Best: 938.56 		N:5
Kuo            		Mean: 92.88 		Best: 940.88 		N:10
Snyder         		Mean: 226.01 		Best: 919.22 		N:4
Thomas         		Mean: 82.73 		Best: 918.08 		N:11
Lodge          		Mean: 180.66 		Best: 909.14 		N:5

########## REPORT GEN: 24 ##########
SPECIES: 
Marsh          		Mean: 115.17 		Best: 944.1 		N:8
Olson          		Mean: 233.35 		Best: 944.1 		N:4
Lodge          		Mean: 76.4 		Best: 944.1 		N:12
Snyder         		Mean: 92.71 		Best: 941.73 		N:10
Whitaker       		Mean: 70.81 		Best: 941.4 		N:13
Loiacono       		Mean: 115.08 		Best: 938.56 		N:8
Thomas         		Mean: 83.45 		Best: 937.61 		N:11
Kuo            		Mean: 152.91 		Best: 919.22 		N:6
Loynes         		Mean: 304.39 		Best: 919.22 		N:3
Lawrence       		Mean: 226.71 		Best: 918.08 		N:4

########## REPORT GEN: 25 ##########
SPECIES: 
Lodge          		Mean: 114.26 		Best: 944.1 		N:8
Snyder         		Mean: 114.95 		Best: 944.1 		N:8
Loiacono       		Mean: 103.3 		Best: 944.1 		N:9
Whitaker       		Mean: 77.0 		Best: 941.73 		N:12
Olson          		Mean: 232.62 		Best: 941.4 		N:4
Loynes         		Mean: 313.16 		Best: 937.61 		N:3
Thomas         		Mean: 130.87 		Best: 919.22 		N:7
Marsh          		Mean: 226.43 		Best: 918.08 		N:4
Lawrence       		Mean: 130.76 		Best: 918.08 		N:7
Kuo            		Mean: 101.45 		Best: 914.24 		N:9

########## REPORT GEN: 26 ##########
SPECIES: 
Loynes         		Mean: 76.98 		Best: 944.1 		N:12
Thomas         		Mean: 83.46 		Best: 944.1 		N:11
Marsh          		Mean: 133.99 		Best: 941.73 		N:7
Snyder         		Mean: 71.22 		Best: 944.1 		N:13
Lodge          		Mean: 153.81 		Best: 938.82 		N:6
Whitaker       		Mean: 186.86 		Best: 937.61 		N:5
Loiacono       		Mean: 114.25 		Best: 920.08 		N:8
Kuo            		Mean: 228.82 		Best: 919.22 		N:4
Olson          		Mean: 305.03 		Best: 918.08 		N:3
Lawrence       		Mean: 302.71 		Best: 906.07 		N:3

########## REPORT GEN: 27 ##########
SPECIES: 
Loynes         		Mean: 187.3 		Best: 944.1 		N:5
Kuo            		Mean: 115.45 		Best: 944.1 		N:8
Olson          		Mean: 102.69 		Best: 942.94 		N:9
Snyder         		Mean: 83.93 		Best: 941.73 		N:11
Lodge          		Mean: 132.09 		Best: 944.1 		N:7
Thomas         		Mean: 102.07 		Best: 941.4 		N:9
Marsh          		Mean: 154.91 		Best: 937.61 		N:6
Lawrence       		Mean: 131.4 		Best: 927.35 		N:7
Loiacono       		Mean: 130.57 		Best: 919.22 		N:7
Whitaker       		Mean: 455.99 		Best: 911.79 		N:2

########## REPORT GEN: 28 ##########
SPECIES: 
Olson          		Mean: 116.6 		Best: 944.1 		N:8
Lawrence       		Mean: 102.33 		Best: 942.94 		N:9
Loynes         		Mean: 103.5 		Best: 944.1 		N:9
Marsh          		Mean: 92.41 		Best: 941.73 		N:10
Snyder         		Mean: 310.02 		Best: 941.4 		N:3
Thomas         		Mean: 102.61 		Best: 937.61 		N:9
Loiacono       		Mean: 83.73 		Best: 934.95 		N:11
Kuo            		Mean: 184.83 		Best: 927.29 		N:5
Whitaker       		Mean: 229.12 		Best: 919.22 		N:4
Lodge          		Mean: 228.24 		Best: 914.24 		N:4

########## REPORT GEN: 29 ##########
SPECIES: 
Loiacono       		Mean: 233.62 		Best: 944.1 		N:4
Thomas         		Mean: 115.05 		Best: 942.94 		N:8
Marsh          		Mean: 186.07 		Best: 941.82 		N:5
Kuo            		Mean: 91.93 		Best: 941.73 		N:10
Loynes         		Mean: 131.69 		Best: 934.95 		N:7
Lawrence       		Mean: 76.53 		Best: 923.58 		N:12
Lodge          		Mean: 182.24 		Best: 919.04 		N:5
Snyder         		Mean: 114.02 		Best: 918.08 		N:8
Olson          		Mean: 181.96 		Best: 915.07 		N:5
Whitaker       		Mean: 306.03 		Best: 914.24 		N:3

########## REPORT GEN: 30 ##########
SPECIES: 
Olson          		Mean: 70.41 		Best: 944.1 		N:13
Lodge          		Mean: 184.02 		Best: 944.1 		N:5
Loiacono       		Mean: 92.67 		Best: 944.1 		N:10
Kuo            		Mean: 76.83 		Best: 941.73 		N:12
Loynes         		Mean: 183.75 		Best: 941.73 		N:5
Thomas         		Mean: 154.06 		Best: 937.61 		N:6
Snyder         		Mean: 132.07 		Best: 933.39 		N:7
Whitaker       		Mean: 101.36 		Best: 923.3 		N:9
Lawrence       		Mean: 130.47 		Best: 922.22 		N:7
Marsh          		Mean: 182.37 		Best: 915.07 		N:5

########## REPORT GEN: 31 ##########
SPECIES: 
Loynes         		Mean: 115.28 		Best: 944.1 		N:8
Olson          		Mean: 83.92 		Best: 942.58 		N:11
Thomas         		Mean: 76.25 		Best: 941.82 		N:12
Lawrence       		Mean: 155.21 		Best: 941.73 		N:6
Loiacono       		Mean: 92.12 		Best: 937.61 		N:10
Whitaker       		Mean: 83.01 		Best: 937.61 		N:11
Marsh          		Mean: 101.77 		Best: 933.39 		N:9
Snyder         		Mean: 131.41 		Best: 922.22 		N:7
Lodge          		Mean: 152.56 		Best: 918.08 		N:6
Kuo            		Mean: 152.44 		Best: 922.22 		N:6

########## REPORT GEN: 32 ##########
SPECIES: 
Loynes         		Mean: 92.77 		Best: 944.1 		N:10
Thomas         		Mean: 102.36 		Best: 941.73 		N:9
Loiacono       		Mean: 115.32 		Best: 941.73 		N:8
Olson          		Mean: 91.71 		Best: 937.61 		N:10
Whitaker       		Mean: 91.57 		Best: 937.61 		N:10
Marsh          		Mean: 70.46 		Best: 933.39 		N:13
Snyder         		Mean: 131.21 		Best: 925.48 		N:7
Lawrence       		Mean: 91.48 		Best: 923.61 		N:10
Lodge          		Mean: 91.8 		Best: 922.22 		N:10
Kuo            		Mean: 131.17 		Best: 922.22 		N:7

########## REPORT GEN: 33 ##########
SPECIES: 
Marsh          		Mean: 84.01 		Best: 941.82 		N:11
Loynes         		Mean: 76.49 		Best: 941.73 		N:12
Snyder         		Mean: 102.07 		Best: 941.73 		N:9
Loiacono       		Mean: 114.87 		Best: 937.61 		N:8
Olson          		Mean: 83.11 		Best: 937.61 		N:11
Whitaker       		Mean: 154.64 		Best: 937.61 		N:6
Thomas         		Mean: 114.77 		Best: 937.36 		N:8
Lodge          		Mean: 114.87 		Best: 933.39 		N:8
Kuo            		Mean: 114.84 		Best: 923.61 		N:8
Lawrence       		Mean: 60.77 		Best: 917.64 		N:15

########## REPORT GEN: 34 ##########
SPECIES: 
Loynes         		Mean: 61.11 		Best: 941.73 		N:15
Snyder         		Mean: 76.33 		Best: 941.73 		N:12
Kuo            		Mean: 131.22 		Best: 941.73 		N:7
Thomas         		Mean: 132.07 		Best: 941.55 		N:7
Marsh          		Mean: 114.92 		Best: 937.61 		N:8
Loiacono       		Mean: 83.61 		Best: 937.61 		N:11
Lawrence       		Mean: 91.71 		Best: 937.61 		N:10
Olson          		Mean: 129.99 		Best: 917.64 		N:7
Lodge          		Mean: 82.54 		Best: 912.93 		N:11
Whitaker       		Mean: 114.2 		Best: 914.24 		N:8

########## REPORT GEN: 35 ##########
SPECIES: 
Marsh          		Mean: 114.86 		Best: 941.73 		N:8
Loiacono       		Mean: 83.81 		Best: 941.73 		N:11
Whitaker       		Mean: 83.15 		Best: 941.73 		N:11
Snyder         		Mean: 183.34 		Best: 941.55 		N:5
Olson          		Mean: 70.65 		Best: 941.55 		N:13
Lawrence       		Mean: 101.75 		Best: 937.61 		N:9
Kuo            		Mean: 82.76 		Best: 919.14 		N:11
Thomas         		Mean: 101.16 		Best: 917.64 		N:9
Lodge          		Mean: 151.05 		Best: 912.93 		N:6
Loynes         		Mean: 64.86 		Best: 912.29 		N:14

########## REPORT GEN: 36 ##########
SPECIES: 
Marsh          		Mean: 101.58 		Best: 941.73 		N:9
Whitaker       		Mean: 101.8 		Best: 941.73 		N:9
Loynes         		Mean: 131.3 		Best: 941.73 		N:7
Olson          		Mean: 91.36 		Best: 941.55 		N:10
Thomas         		Mean: 102.64 		Best: 941.73 		N:9
Lodge          		Mean: 101.24 		Best: 915.75 		N:9
Snyder         		Mean: 82.56 		Best: 911.82 		N:11
Lawrence       		Mean: 129.34 		Best: 911.34 		N:7
Loiacono       		Mean: 90.77 		Best: 907.67 		N:10
Kuo            		Mean: 129.55 		Best: 907.17 		N:7

########## REPORT GEN: 37 ##########
SPECIES: 
Loynes         		Mean: 60.72 		Best: 941.73 		N:15
Olson          		Mean: 65.43 		Best: 941.73 		N:14
Thomas         		Mean: 50.56 		Best: 941.73 		N:18
Whitaker       		Mean: 91.54 		Best: 941.55 		N:10
Kuo            		Mean: 230.5 		Best: 941.55 		N:4
Lodge          		Mean: 130.74 		Best: 937.1 		N:7
Lawrence       		Mean: 129.97 		Best: 924.09 		N:7
Snyder         		Mean: 101.48 		Best: 917.04 		N:9
Marsh          		Mean: 151.37 		Best: 907.58 		N:6
Loiacono       		Mean: 179.51 		Best: 899.67 		N:5

########## REPORT GEN: 38 ##########
SPECIES: 
