########## REPORT GEN: 2 ##########
SPECIES: 
Reynolds       		Mean: 110.99 		Best: 987.0 		N:6
Pointer        		Mean: 77.76 		Best: 825.74 		N:7
Ragin          		Mean: 139.68 		Best: 825.64 		N:5
Trent          		Mean: 65.27 		Best: 820.93 		N:8
Mcmahon        		Mean: 122.14 		Best: 818.94 		N:5
Freeman        		Mean: 95.41 		Best: 762.86 		N:6
Rodriguez      		Mean: 184.18 		Best: 759.86 		N:3
Ornelas        		Mean: 82.53 		Best: 758.53 		N:6
Goldberger     		Mean: 72.8 		Best: 758.39 		N:7
Holder         		Mean: 147.7 		Best: 706.42 		N:4
Watters        		Mean: 70.84 		Best: 688.95 		N:7
Tickle         		Mean: 159.48 		Best: 688.18 		N:3
Beck           		Mean: 147.85 		Best: 643.32 		N:3
Moss           		Mean: 82.34 		Best: 526.99 		N:5
Kruse          		Mean: 124.51 		Best: 381.54 		N:3
Mateo          		Mean: 187.95 		Best: 379.89 		N:2
Taylor         		Mean: 178.17 		Best: 354.99 		N:2

########## REPORT GEN: 13 ##########
SPECIES: 
Goldberger     		Mean: 96.95 		Best: 1009.83 		N:6
Holder         		Mean: 252.75 		Best: 996.1 		N:3
Cadogan        		Mean: 92.27 		Best: 978.84 		N:5
Moss           		Mean: 77.3 		Best: 835.87 		N:6
Madina         		Mean: 93.56 		Best: 827.02 		N:6
Pointer        		Mean: 85.36 		Best: 805.59 		N:5
Ragin          		Mean: 99.39 		Best: 794.98 		N:6
Tickle         		Mean: 134.42 		Best: 761.21 		N:4
Mateo          		Mean: 202.69 		Best: 760.42 		N:3
Reynolds       		Mean: 112.53 		Best: 759.02 		N:5
Watters        		Mean: 98.63 		Best: 758.53 		N:6
Taylor         		Mean: 71.37 		Best: 758.53 		N:7
Kruse          		Mean: 278.01 		Best: 736.28 		N:2
Freeman        		Mean: 65.77 		Best: 719.35 		N:8
Mcmahon        		Mean: 119.97 		Best: 688.29 		N:4
Rodriguez      		Mean: 75.04 		Best: 617.04 		N:6
Beck           		Mean: 50.55 		Best: 591.28 		N:9
Trent          		Mean: 155.64 		Best: 528.44 		N:3

########## REPORT GEN: 14 ##########
